window_name,start,end,design,window,threshold,cash_yield,baseline_return,overlay_return,baseline_max_drawdown,overlay_max_drawdown,drawdown_depth_delta,cash_days,cash_segments,states_seen
2024-10-08_2024-11-15,2024-10-08,2024-11-15,design1_rank_then_gate,250,point,0.02,-0.10377796070504575,-0.10725881703451623,-0.25504107542942467,-0.10979423087229201,0.14524684455713266,2,1,"159915.SZ,518880.SH,CASH"
2020Q1,2020-01-01,2020-03-31,design1_rank_then_gate,40,sma,0.0,-0.004916116196572284,-0.08123796179392773,-0.21739980673590276,-0.21739980673590276,0.0,5,1,"159915.SZ,510300.SH,513100.SH,518880.SH,CASH"
2022,2022-01-01,2022-12-31,design1_rank_then_gate,40,sma,0.0,0.2282291014130471,0.1391796726001182,-0.13769507655338997,-0.09778206237080711,0.03991301418258286,45,7,"159915.SZ,510300.SH,513100.SH,518880.SH,CASH"
2024-10-08_2024-11-15,2024-10-08,2024-11-15,design1_rank_then_gate,40,sma,0.0,-0.10377796070504575,-0.10377796070504575,-0.25504107542942467,-0.25504107542942467,0.0,0,0,"159915.SZ,518880.SH"
2020Q1,2020-01-01,2020-03-31,design1_rank_then_gate,40,sma,0.02,-0.004916116196572284,-0.0808046570005111,-0.21739980673590276,-0.21739980673590276,0.0,5,1,"159915.SZ,510300.SH,513100.SH,518880.SH,CASH"
2022,2022-01-01,2022-12-31,design1_rank_then_gate,40,sma,0.02,0.2282291014130471,0.1438443023264373,-0.13769507655338997,-0.09735656012092708,0.04033851643246289,45,7,"159915.SZ,510300.SH,513100.SH,518880.SH,CASH"
2024-10-08_2024-11-15,2024-10-08,2024-11-15,design1_rank_then_gate,40,sma,0.02,-0.10377796070504575,-0.10377796070504575,-0.25504107542942467,-0.25504107542942467,0.0,0,0,"159915.SZ,518880.SH"
2020Q1,2020-01-01,2020-03-31,design1_rank_then_gate,60,sma,0.0,-0.004916116196572284,-0.08123796179392773,-0.21739980673590276,-0.21739980673590276,0.0,5,1,"159915.SZ,510300.SH,513100.SH,518880.SH,CASH"
2022,2022-01-01,2022-12-31,design1_rank_then_gate,60,sma,0.0,0.2282291014130471,-0.010085793147963651,-0.13769507655338997,-0.16519982763853136,-0.027504751085141388,54,9,"159915.SZ,510300.SH,513100.SH,518880.SH,CASH"
2024-10-08_2024-11-15,2024-10-08,2024-11-15,design1_rank_then_gate,60,sma,0.0,-0.10377796070504575,-0.10377796070504575,-0.25504107542942467,-0.25504107542942467,0.0,0,0,"159915.SZ,518880.SH"
2020Q1,2020-01-01,2020-03-31,design1_rank_then_gate,60,sma,0.02,-0.004916116196572284,-0.0808046570005111,-0.21739980673590276,-0.21739980673590276,0.0,5,1,"159915.SZ,510300.SH,513100.SH,518880.SH,CASH"
2022,2022-01-01,2022-12-31,design1_rank_then_gate,60,sma,0.02,0.2282291014130471,-0.005172775684184727,-0.13769507655338997,-0.163426703790146,-0.02573162723675604,54,9,"159915.SZ,510300.SH,513100.SH,518880.SH,CASH"
2024-10-08_2024-11-15,2024-10-08,2024-11-15,design1_rank_then_gate,60,sma,0.02,-0.10377796070504575,-0.10377796070504575,-0.25504107542942467,-0.25504107542942467,0.0,0,0,"159915.SZ,518880.SH"
2020Q1,2020-01-01,2020-03-31,design1_rank_then_gate,200,sma,0.0,-0.004916116196572284,-0.084595208312916,-0.21739980673590276,-0.21739980673590276,0.0,5,1,"159915.SZ,510300.SH,513100.SH,518880.SH,CASH"
2022,2022-01-01,2022-12-31,design1_rank_then_gate,200,sma,0.0,0.2282291014130471,-0.09347680525094193,-0.13769507655338997,-0.1351360322638182,0.0025590442895717658,132,10,"513100.SH,518880.SH,CASH"
2024-10-08_2024-11-15,2024-10-08,2024-11-15,design1_rank_then_gate,200,sma,0.0,-0.10377796070504575,-0.1074692592321087,-0.25504107542942467,-0.1098641893547817,0.14517688607464296,2,1,"159915.SZ,518880.SH,CASH"
2020Q1,2020-01-01,2020-03-31,design1_rank_then_gate,200,sma,0.02,-0.004916116196572284,-0.08416348694213405,-0.21739980673590276,-0.21739980673590276,0.0,5,1,"159915.SZ,510300.SH,513100.SH,518880.SH,CASH"
2022,2022-01-01,2022-12-31,design1_rank_then_gate,200,sma,0.02,0.2282291014130471,-0.08330446179083895,-0.13769507655338997,-0.12920298597361923,0.008492090579770739,132,10,"513100.SH,518880.SH,CASH"
2024-10-08_2024-11-15,2024-10-08,2024-11-15,design1_rank_then_gate,200,sma,0.02,-0.10377796070504575,-0.10725881703451623,-0.25504107542942467,-0.10979423087229201,0.14524684455713266,2,1,"159915.SZ,518880.SH,CASH"
