year,window,lambda,insample_annualized_return,insample_sharpe,insample_max_drawdown
2019,trailing_36m,1.25,0.03340907819015704,3.19444508586272,-0.009172316324707164
2019,trailing_36m,1.5,0.03340907819015704,3.19444508586272,-0.009172316324707164
2019,trailing_36m,2.0,0.03340907819015704,3.19444508586272,-0.009172316324707164
2020,expanding,0.25,0.04223663266430733,2.063446337142249,-0.036722986156042636
2020,expanding,0.5,0.04254159860170126,2.0180838759875064,-0.03253825724273518
2020,expanding,0.6,0.04269714860503382,1.968610537366701,-0.031671869762393
2020,expanding,0.65,0.0427615041369398,1.9376477478076894,-0.03134407240947856
2020,expanding,0.7,0.04283619593073529,1.904862804026992,-0.031041922414692613
2020,expanding,0.75,0.04286123967133504,1.867144087093028,-0.031005388892324848
2020,expanding,0.8,0.04292768806371683,1.8303495609562355,-0.030653420195666414
2020,expanding,0.9,0.043117463858372895,1.7559409905681582,-0.0304675574499097
2020,expanding,1.0,0.04329041909210085,1.6790590775933292,-0.031499218812301
2020,expanding,1.25,0.04341736994707501,1.6569345688485297,-0.03213933000661939
2020,expanding,1.5,0.043503609691539546,1.6383115299545752,-0.032657810286043865
2020,expanding,2.0,0.043692491223035645,1.6122416325742899,-0.033399673860628365
2020,trailing_36m,0.25,0.052536016070552805,1.7136032428950585,-0.03734811050044484
2020,trailing_36m,0.5,0.053304632162098464,1.6886345539899903,-0.03273008104801123
2020,trailing_36m,0.6,0.05377981419621802,1.6540991743997528,-0.03186008121290884
2020,trailing_36m,0.65,0.05395034083982675,1.6305605981165265,-0.03148949817734836
2020,trailing_36m,0.7,0.054274287352132244,1.6098863275286026,-0.030684446740061877
2020,trailing_36m,0.75,0.05442159588778983,1.5805623215262536,-0.030315925008879696
2020,trailing_36m,0.8,0.05456173516366469,1.549196918427699,-0.029992903786478342
2020,trailing_36m,0.9,0.054966222203977066,1.4887515798075739,-0.02993156653124951
2020,trailing_36m,1.0,0.05534852712255156,1.4264630191566743,-0.031007861174957907
2020,trailing_36m,1.25,0.05558097876550794,1.408919330245926,-0.03186483360465131
2020,trailing_36m,1.5,0.055922704494305364,1.3986146700167374,-0.032016136642852744
