rank,experiment,factor,mechanism,annualized_return,volatility,sharpe,max_drawdown,sortino,calmar,worst_calendar_return,best_calendar_return,final_nav,total_deposits,trades,traded_notional,estimated_transaction_cost,meets_5pct_return_floor,delta_annualized_return_vs_baseline,delta_volatility_vs_baseline,delta_sharpe_vs_baseline,delta_max_drawdown_vs_baseline,delta_sortino_vs_baseline,delta_calmar_vs_baseline
40,momentum_low_vol_60__global_blend_025,momentum_low_vol_60,global_blend_025,0.04932393934650636,0.04088137971643892,1.1982567992352964,-0.054346552418177985,1.5136664858564428,0.9075817536129184,0.0016903174261544418,0.12919853648132973,4478243.126296471,3220000.0,728,20114375.326470368,10057.187663235183,False,-0.002952832245600945,-0.0018809906770971621,-0.014854418256642576,-3.159542762165568e-05,-0.053445599798584986,-0.054892940074063645
41,momentum_low_vol_60__sleeve_tilt_100,momentum_low_vol_60,sleeve_tilt_100,0.04952594786223585,0.04119968833558205,1.1939850330430748,-0.055131162902025355,1.4694117137620972,0.8983294611479421,-0.0017930475274166024,0.1424459511993268,4538007.029330699,3220000.0,697,55272182.20303391,27636.091101516955,False,-0.0027508237298714544,-0.0015626820579540263,-0.01912618444886416,-0.0008162059114690257,-0.09770037189293057,-0.06414523253903992
42,momentum_low_vol_60__global_tilt_050,momentum_low_vol_60,global_tilt_050,0.04586224952823503,0.03817138739129402,1.1939389466605461,-0.0534328868563968,1.4704175957416008,0.8583150233205968,-0.0016889225279804743,0.11881504911130003,4346964.180682067,3220000.0,753,35962617.51579591,17981.308757897954,False,-0.006414522063872274,-0.004590983002242061,-0.019172270831392835,0.0008820701341595294,-0.096694489913427,-0.10415967036638518
43,momentum_low_vol_60__global_blend_050,momentum_low_vol_60,global_blend_050,0.04602812108774179,0.03940913346556376,1.1616843370823815,-0.055531665370403216,1.4269282970588295,0.8288626098412215,-0.0020194438425709116,0.11943369426012196,4351015.481316378,3220000.0,751,36689460.81241258,18344.73040620629,False,-0.006248650504365516,-0.0033532369279723195,-0.05142688040955745,-0.001216708379846887,-0.1401837885961983,-0.1336120838457605
44,reversal_20__sleeve_tilt_100,reversal_20,sleeve_tilt_100,0.04932335426575429,0.04224460191541214,1.160908273230586,-0.047009699105169056,1.4419009507410125,1.0492165490234084,0.009060485357189618,0.11936626581267706,4564649.640185096,3220000.0,735,148597225.3877581,74298.61269387905,False,-0.002953417326353014,-0.0005177684781239381,-0.05220294426135297,0.007305257885387273,-0.12521113491401525,0.08674185533642642
45,momentum_low_vol_60__global_tilt_075,momentum_low_vol_60,global_tilt_075,0.04256523332425011,0.03654798080883789,1.1589073465426685,-0.0535737474119774,1.3861726203991556,0.794516631381546,-0.005329560441804215,0.10869857863731913,4222054.54361989,3220000.0,755,51326868.06981775,25663.434034908878,False,-0.0097115382678572,-0.006214389584698186,-0.05420387094927048,0.0007412095785789274,-0.18093946525587223,-0.16795806230543597
46,reversal_5__sleeve_tilt_100,reversal_5,sleeve_tilt_100,0.04862526278802615,0.04210854280787776,1.1487158476712067,-0.04328694154487622,1.4406472379233317,1.1233240569240865,0.001963743415954733,0.1361555045982783,4586592.682111782,3220000.0,738,150233073.49416757,75116.53674708378,False,-0.0036515088040811605,-0.0006538275856583231,-0.06439536982073224,0.011028015445680106,-0.12646484773169608,0.16084936323710453
47,quality_momentum_20__sleeve_tilt_100,quality_momentum_20,sleeve_tilt_100,0.049947840961985124,0.043654825310944265,1.1384380103378495,-0.06134294954086894,1.371197687263557,0.8142393108878474,-0.0025005849224055687,0.14021932419007066,4491984.220153251,3220000.0,745,144413093.75181586,72206.54687590792,False,-0.0023289306301221835,0.000892454917408185,-0.07467320715408943,-0.007027992550312612,-0.19591439839147085,-0.14823538279913462
48,quality_momentum_60__global_tilt_025,quality_momentum_60,global_tilt_025,0.04965360816495612,0.04360143679197587,1.1333532995200557,-0.06013062694100535,1.3987032614347565,0.8257623559067775,0.0009376916032199922,0.12512044146280887,4453305.335984942,3220000.0,753,35272902.95535815,17636.451477679075,False,-0.0026231634271511872,0.0008390663984397875,-0.07975791797188325,-0.005815669950449021,-0.16840882422027126,-0.13671233778020453
49,quality_momentum_60__global_blend_025,quality_momentum_60,global_blend_025,0.04983354131882245,0.04437090996909433,1.1183264693250423,-0.06188855485200084,1.3778262352456836,0.80521416985731,0.0007482001250436188,0.12588424085394645,4456528.65095763,3220000.0,757,35790737.159872286,17895.368579936145,False,-0.0024432302732848576,0.001608539575558253,-0.09478474816689664,-0.007573597861444514,-0.1892858504093442,-0.15726052382967204
