candidate,family,threshold,budget,D_sharpe,D_sharpe_delta,D_annual_return,D_annual_return_delta,D_top10_mean_depth,D_top10_mean_depth_delta,D_max_drawdown,D_max_drawdown_delta,D_annual_turnover,V_sharpe,V_sharpe_delta,V_annual_return,V_annual_return_delta,V_top10_mean_depth,V_top10_mean_depth_delta,V_max_drawdown,V_max_drawdown_delta,V_annual_turnover,robust_score,eligible_DV_triple,DV_sharpe_delta,DV_annual_delta,DV_top10_delta,DV_trigger_days,confidence_cap,beta,max_budget
P5_031_RA_CLOSE,RA_CLOSE,0.7,0.2,1.5576182844047315,0.12049320006341713,0.40255857285081054,0.037393508450142665,-0.11300491728953663,0.006485901194430266,-0.25794670074544945,6.661338147750939e-16,40.23737704918033,0.8902210913276178,-0.10379047522499751,0.20234152605360856,-0.03322005864350541,-0.1162718064102181,0.0086039390878071,-0.28332608709588947,-0.06592628035998682,46.044444444444444,-3.3220058643505412,False,0.020922815996741395,0.003864561038387615,0.0006996124691532324,147,1.0,0.75,
P5_051_RA_CLOSE,RA_CLOSE,0.7,0.5,1.4302907980884134,-0.006834286252900945,0.33088034191502214,-0.034284722485645736,-0.1129023120312898,0.006588506452677098,-0.20387266758040767,0.054074033165042446,42.13770491803279,0.9938385203655817,-0.00017304618703362085,0.22592730936649863,-0.009634275330615338,-0.11115736961004494,0.013718375887980264,-0.2615694727571888,-0.044169666021286136,47.96296296296296,-3.4284722485645736,False,-0.009240177187490595,-0.022821332349383328,0.009002560336584864,231,1.5,0.75,
P5_045_RA_CLOSE,RA_CLOSE,0.7,0.5,1.4302907980884134,-0.006834286252900945,0.33088034191502214,-0.034284722485645736,-0.1129023120312898,0.006588506452677098,-0.20387266758040767,0.054074033165042446,42.13770491803279,0.9283973409906376,-0.06561422556197771,0.20920025826092337,-0.026361326436190602,-0.11082185756946594,0.014053887928559258,-0.2582143523513992,-0.04081454561549658,47.96296296296296,-3.4284722485645736,False,-0.04075296704189446,-0.030615288423247566,0.009338072377163775,231,1.5,0.25,
P5_048_RA_CLOSE,RA_CLOSE,0.7,0.5,1.4302907980884134,-0.006834286252900945,0.33088034191502214,-0.034284722485645736,-0.1129023120312898,0.006588506452677098,-0.20387266758040767,0.054074033165042446,42.13770491803279,0.9283973409906376,-0.06561422556197771,0.20920025826092337,-0.026361326436190602,-0.11082185756946594,0.014053887928559258,-0.2582143523513992,-0.04081454561549658,47.96296296296296,-3.4284722485645736,False,-0.04075296704189446,-0.030615288423247566,0.009338072377163775,231,1.5,0.5,
P5_071_RA_CLOSE,RA_CLOSE,0.75,0.35,1.3524653665136925,-0.08465971782762183,0.3304631309626902,-0.03470193343797767,-0.12121286747456475,-0.0017220489905978575,-0.26021633974011016,-0.0022696389946600393,42.73672131147541,0.9585182679531896,-0.03549329859942574,0.2222257282103679,-0.013335856486746067,-0.11614590967126859,0.008729835826756613,-0.2724315358009205,-0.055031729065017854,45.75925925925926,-3.4701933437977672,False,-0.06347236019760993,-0.024764572981931687,-0.005752185472343213,65,0.5,0.75,
P5_065_RA_CLOSE,RA_CLOSE,0.75,0.35,1.3524653665136925,-0.08465971782762183,0.3304631309626902,-0.03470193343797767,-0.12121286747456475,-0.0017220489905978575,-0.26021633974011016,-0.0022696389946600393,42.73672131147541,0.9133360830165327,-0.08067548353608267,0.21044745457827507,-0.025114130118838895,-0.11592256269507843,0.008953182802946769,-0.27019806603901986,-0.05279825930311721,45.75925925925926,-3.4701933437977672,False,-0.08477339666504702,-0.03025475425708124,-0.0055288384961531545,65,0.5,0.25,
P5_068_RA_CLOSE,RA_CLOSE,0.75,0.35,1.3524653665136925,-0.08465971782762183,0.3304631309626902,-0.03470193343797767,-0.12121286747456475,-0.0017220489905978575,-0.26021633974011016,-0.0022696389946600393,42.73672131147541,0.9133360830165327,-0.08067548353608267,0.21044745457827507,-0.025114130118838895,-0.11592256269507843,0.008953182802946769,-0.27019806603901986,-0.05279825930311721,45.75925925925926,-3.4701933437977672,False,-0.08477339666504702,-0.03025475425708124,-0.0055288384961531545,65,0.5,0.5,
P5_044_RA_CLOSE,RA_CLOSE,0.7,0.35,1.4308461233946657,-0.006278960946648704,0.34145190371501166,-0.02371316068565621,-0.11246316920542831,0.007027649278538578,-0.2095680946547318,0.04837860609071831,41.765901639344264,0.8910566903534096,-0.10295487619920574,0.20062594714176374,-0.03493563755535023,-0.1122294816539235,0.012646263844101696,-0.27019806603901986,-0.05279825930311721,47.72962962962963,-3.493563755535023,False,-0.0548758205564539,-0.02902249127106815,0.006891440466184728,231,1.5,0.25,
P5_047_RA_CLOSE,RA_CLOSE,0.7,0.35,1.4308461233946657,-0.006278960946648704,0.34145190371501166,-0.02371316068565621,-0.11246316920542831,0.007027649278538578,-0.2095680946547318,0.04837860609071831,41.765901639344264,0.8910566903534096,-0.10295487619920574,0.20062594714176374,-0.03493563755535023,-0.1122294816539235,0.012646263844101696,-0.27019806603901986,-0.05279825930311721,47.72962962962963,-3.493563755535023,False,-0.0548758205564539,-0.02902249127106815,0.006891440466184728,231,1.5,0.5,
P5_004_SAFE_CLOSE,SAFE_CLOSE,0.7,0.2,1.3486136733888208,-0.0885114109524936,0.33290791293727184,-0.03225715146339603,-0.11980127489501122,-0.0003104564110443242,-0.2579467007454498,3.3306690738754696e-16,42.46819672131148,0.8777107837999498,-0.11630078275266553,0.19907793884746305,-0.036483645849650914,-0.11657759334963187,0.008298152148393328,-0.28332608709588947,-0.06592628035998682,46.666666666666664,-3.6483645849650914,False,-0.10104869784683013,-0.034283826593887845,-0.005403887620928666,78,0.5,,
P5_062_SAFE_CLOSE,SAFE_CLOSE,0.75,0.35,1.3472545520586752,-0.08987053228263919,0.32812891437456515,-0.03703615002610272,-0.11990809899471215,-0.0004172805107452576,-0.25794670074544945,6.661338147750939e-16,42.88131147540983,0.8889947867379069,-0.10501677981470847,0.20017479296753127,-0.0353867917295827,-0.11614590967126855,0.008729835826756654,-0.27243153580091994,-0.0550317290650173,46.303703703703704,-3.703615002610272,False,-0.09684234149656534,-0.03630905492539949,-0.005078009466218392,65,0.5,,
P5_049_RA_CLOSE,RA_CLOSE,0.7,0.2,1.4196016208792148,-0.017523463462099542,0.35147283772879945,-0.013692226671868424,-0.11444799807717188,0.005042820406795018,-0.21531883849499378,0.04262786225045634,41.39409836065574,0.8773928267878485,-0.11661873976476689,0.19850099430136003,-0.037060590395753934,-0.11512378459049939,0.009751960907525808,-0.28332608709588947,-0.06592628035998682,47.49629629629629,-3.7060590395753934,False,-0.06321705568961389,-0.024728494621164776,0.004312779997043992,231,1.5,0.75,
P5_082_RA_CLOSE,RA_CLOSE,0.75,0.2,1.5183368349951516,0.08121175065383723,0.3889080130337055,0.02374294863303761,-0.11328867145712422,0.006202147026842672,-0.2579467007454497,4.440892098500626e-16,40.815737704918035,0.8719646613850845,-0.1220469051675308,0.19816797713778134,-0.03739360755933263,-0.11669062515761339,0.008185120340411814,-0.28211419007073146,-0.06471438333482882,45.940740740740736,-3.739360755933263,False,-0.010218346546028823,-0.005254045621175374,0.0005104612080970294,126,1.0,0.25,
P5_085_RA_CLOSE,RA_CLOSE,0.75,0.2,1.5183368349951516,0.08121175065383723,0.3889080130337055,0.02374294863303761,-0.11328867145712422,0.006202147026842672,-0.2579467007454497,4.440892098500626e-16,40.815737704918035,0.8719646613850845,-0.1220469051675308,0.19816797713778134,-0.03739360755933263,-0.11669062515761339,0.008185120340411814,-0.28211419007073146,-0.06471438333482882,45.940740740740736,-3.739360755933263,False,-0.010218346546028823,-0.005254045621175374,0.0005104612080970294,126,1.0,0.5,
