candidate,threshold,delay_days,incumbent_momentum_floor,confidence_cap,minimum_risk_spread,event_days,D_sharpe_delta,D_annual_delta,D_top10_delta,D_event_days,V_sharpe_delta,V_annual_delta,V_top10_delta,V_event_days,robust_score,eligible_DV_triple
P12_61,0.825,3,0.05,1.0,0.0,11,-0.013324718816452252,-0.00755264522433885,0.01890020486805888,2,-0.013048980643899921,-0.004125377262847785,0.004445503555184374,7,-0.755264522433885,False
P12_62,0.825,3,0.05,1.0,0.1,11,-0.013324718816452252,-0.00755264522433885,0.01890020486805888,2,-0.013048980643899921,-0.004125377262847785,0.004445503555184374,7,-0.755264522433885,False
P12_69,0.825,5,0.05,1.0,0.0,11,-0.013324718816452252,-0.00755264522433885,0.01890020486805888,2,-0.013048980643899921,-0.004125377262847785,0.004445503555184374,7,-0.755264522433885,False
P12_70,0.825,5,0.05,1.0,0.1,11,-0.013324718816452252,-0.00755264522433885,0.01890020486805888,2,-0.013048980643899921,-0.004125377262847785,0.004445503555184374,7,-0.755264522433885,False
P12_35,0.8,3,0.0,1.5,0.0,42,-0.008182661035318617,-0.009173830544119355,0.01766511152921406,15,0.0034815125179626927,-0.002480534486074104,0.003885129203491905,15,-0.9173830544119355,False
P12_43,0.8,5,0.0,1.5,0.0,48,-0.008182661035318617,-0.009173830544119355,0.01766511152921406,15,-0.005477282056317145,-0.00601103419358795,0.0032424793190291845,17,-0.9173830544119355,False
P12_36,0.8,3,0.0,1.5,0.1,41,-0.008839267655099237,-0.009294415368972242,0.017665111529214073,14,0.0034815125179626927,-0.002480534486074104,0.003885129203491905,15,-0.9294415368972242,False
P12_44,0.8,5,0.0,1.5,0.1,47,-0.008839267655099237,-0.009294415368972242,0.017665111529214073,14,-0.005477282056317145,-0.00601103419358795,0.0032424793190291845,17,-0.9294415368972242,False
P12_59,0.825,3,0.0,1.5,0.0,29,-0.015103570567421398,-0.009514965403336628,0.018019933036703434,9,0.08608587052599093,0.023957518610543627,0.0054913515209157465,12,-0.9514965403336628,False
P12_60,0.825,3,0.0,1.5,0.1,29,-0.015103570567421398,-0.009514965403336628,0.018019933036703434,9,0.08608587052599093,0.023957518610543627,0.0054913515209157465,12,-0.9514965403336628,False
