candidate,gate,threshold,mode,budget,momentum_cap,trigger_days,D_sharpe_delta,D_annual_delta,D_top10_delta,V_sharpe_delta,V_annual_delta,V_top10_delta,robust_score,eligible_DV_triple,minimum_drawdown
P7_098,MOMCAP,0.8,RA,0.25,0.2,260,-0.09507311371564953,-0.033937881753878685,0.0023572761299913148,0.15390380895693367,0.04391219574707028,0.00886843176381251,-3.3937881753878685,False,
P7_111,BOTH,0.8,RA,0.2,0.15,94,-0.0975340742056714,-0.034033066420759095,-0.0004098810992534674,0.08677331713469039,0.025231204407803354,0.008051207037305774,-3.4033066420759095,False,0.02
P7_061,MOMCAP,0.8,SAFE,0.15,0.15,205,-0.09384934576128723,-0.03494310615271301,-5.642254123437718e-05,0.08186557163953234,0.022761635873256525,0.008257362528302267,-3.494310615271301,False,
P7_113,BOTH,0.8,RA,0.3,0.1,63,-0.1084022649988794,-0.035048221000997026,-0.000191629430505047,0.09964755913886447,0.02854624937692818,0.00898733993663793,-3.5048221000997026,False,0.02
P7_115,BOTH,0.8,RA,0.3,0.15,94,-0.09480711540836162,-0.03554576120441655,-0.0001460100071127013,0.07669367746006583,0.02101303256221687,0.01574843735856643,-3.554576120441655,False,0.02
P7_005,DRAWDOWN,0.7,SAFE,0.15,,246,0.017935910648388953,0.011146776477468201,0.0055150870849266925,-0.10989877112362356,-0.03685365209035396,0.025961946361214905,-3.685365209035396,False,0.02
P7_059,MOMCAP,0.8,SAFE,0.15,0.05,36,-0.11908177758105887,-0.037040083768736576,-0.0002858667793637082,-0.006112800716239319,-0.0025734318233572306,-0.00030240677150912554,-3.7040083768736576,False,
P7_068,MOMCAP,0.8,SAFE,0.25,0.15,205,-0.09186441533126044,-0.038755605171650886,-2.2630194267986292e-05,0.07037804943680481,0.016740235384209434,0.007769870883358357,-3.8755605171650886,False,
P7_066,MOMCAP,0.8,SAFE,0.25,0.05,36,-0.12171362348098014,-0.03880506089763536,0.0,-0.010598632440776412,-0.004314072968668148,-0.0005044452898106538,-3.8805060897635357,False,
P7_039,MOMCAP,0.7,RA,0.25,0.15,362,-0.10292906250879574,-0.03918576722194178,-0.003979633483413486,-0.011893634134604203,-0.006606670157580652,0.012417561073061023,-3.918576722194178,False,
