date,reason,asset,side,shares,notional
2025-04-02,rebalance,512890.SH,sell,384600,876682.9312799999
2025-04-02,rebalance,511260.SH,buy,3400,457381.6
2025-04-02,rebalance,511880.SH,buy,2600,358118.3424
2025-04-02,rebalance,511360.SH,buy,800,89188.8
2025-05-07,rebalance,511260.SH,sell,14000,1911868.0000000002
2025-05-07,rebalance,512890.SH,buy,807600,1839244.8765599998
2025-05-07,rebalance,511360.SH,buy,400,44680.399999999994
2025-05-07,rebalance,511880.SH,buy,300,41359.2144
2025-06-04,rebalance,511360.SH,sell,100,11185.9
2025-06-04,rebalance,511880.SH,sell,100,13799.3016
2025-06-04,rebalance,512890.SH,sell,809300,1934195.9228799995
2025-06-04,rebalance,511260.SH,buy,14600,1988724.4
2025-07-02,rebalance,511260.SH,sell,7000,957579.0
2025-07-02,rebalance,511360.SH,buy,4000,447984.0
2025-07-02,rebalance,511880.SH,buy,2400,331486.17600000004
2025-07-02,rebalance,512890.SH,buy,74000,181096.8848
2025-08-04,rebalance,511360.SH,sell,6700,751398.3
2025-08-04,rebalance,511880.SH,sell,4000,553124.544
2025-08-04,rebalance,512890.SH,buy,534500,1286184.0263999996
2025-08-04,rebalance,511260.SH,buy,200,27286.0
2025-09-02,rebalance,512890.SH,sell,615200,1500516.11008
2025-09-02,rebalance,511260.SH,buy,7000,950131.0
2025-09-02,rebalance,511360.SH,buy,4900,550206.3
2025-09-02,rebalance,511880.SH,buy,300,41524.26600000001
2025-10-10,rebalance,511260.SH,sell,6800,923480.28864
2025-10-10,rebalance,511360.SH,sell,4900,550936.4
2025-10-10,rebalance,511880.SH,sell,200,27703.6984
2025-10-10,rebalance,512890.SH,buy,648100,1514454.4152399998
2025-11-04,rebalance,512890.SH,sell,552700,1361645.4269599998
2025-11-04,rebalance,511360.SH,buy,7000,787976.0
2025-11-04,rebalance,511880.SH,buy,4200,582163.7472000001
2025-11-04,rebalance,511260.SH,buy,100,13672.713600000001
2025-12-02,rebalance,511360.SH,sell,4100,462004.39999999997
2025-12-02,rebalance,511880.SH,sell,2500,346845.02999999997
2025-12-02,rebalance,512890.SH,sell,85000,210625.59699999998
2025-12-02,rebalance,511260.SH,buy,7600,1036354.9232399999
2026-01-06,rebalance,511260.SH,sell,7300,992016.5639999999
2026-01-06,rebalance,511360.SH,sell,2800,315924.0
2026-01-06,rebalance,511880.SH,sell,1700,236053.40003999998
2026-01-06,rebalance,512890.SH,buy,641100,1538763.4758600001
2026-02-03,rebalance,511260.SH,sell,7800,1068675.68808
2026-02-03,rebalance,512890.SH,buy,209700,495167.71355999995
2026-02-03,rebalance,511360.SH,buy,3000,338919.0
