tau,from_asset,away_asset,away_entry_date,return_entry_date,away_holding_days,whipsaw_pnl
0.0005,159915.SZ,513100.SH,2021-02-03,2021-02-10,5,0.0063337609928104666
0.0005,513100.SH,159915.SZ,2021-02-10,2021-02-24,5,-0.0681930548272357
0.0005,513100.SH,510300.SH,2021-03-04,2021-03-11,5,-0.09774991236007358
0.0005,513100.SH,518880.SH,2021-03-19,2021-03-29,6,-0.0280746861465192
0.0005,159915.SZ,518880.SH,2021-05-10,2021-05-17,5,0.004183608957996299
0.0005,518880.SH,159915.SZ,2021-05-17,2021-05-24,5,0.03403859625747985
0.0005,159915.SZ,518880.SH,2021-05-24,2021-05-31,5,-0.010241091936550317
0.0005,159915.SZ,513100.SH,2021-06-16,2021-07-22,26,0.061265372030582466
0.0005,159915.SZ,518880.SH,2021-07-29,2021-08-05,5,0.0170979158913398
0.0005,513100.SH,510300.SH,2021-08-25,2021-09-01,5,-0.01770936432347303
0.0005,159915.SZ,513100.SH,2021-11-03,2021-11-26,17,0.024981352880642405
0.0005,518880.SH,513100.SH,2022-03-23,2022-04-18,16,-0.05669771570143112
0.0005,159915.SZ,510300.SH,2022-05-31,2022-06-08,5,0.03880166239068905
0.0005,518880.SH,159915.SZ,2022-11-07,2022-11-14,5,-0.010155663791685643
0.0005,518880.SH,510300.SH,2022-11-28,2022-12-05,5,0.04642604427611374
0.0005,510300.SH,518880.SH,2022-12-05,2022-12-12,5,-0.000978880738200738
0.0005,518880.SH,510300.SH,2022-12-12,2022-12-30,14,-0.028379394659824753
0.0005,518880.SH,513100.SH,2023-03-31,2023-04-10,5,0.005294556763454583
0.0005,513100.SH,518880.SH,2023-05-05,2023-05-12,5,-0.00843262594494587
0.0005,518880.SH,513100.SH,2023-05-12,2023-07-24,49,0.18709627213853075
0.0005,518880.SH,510300.SH,2023-07-31,2023-08-14,10,-0.03590376766141434
0.0005,518880.SH,513100.SH,2023-09-18,2023-09-25,5,-0.029304908027305343
0.0005,513100.SH,518880.SH,2023-09-25,2023-10-11,6,-0.04825679899644175
0.0005,518880.SH,513100.SH,2023-10-11,2023-10-19,6,-0.0010730846099344937
0.0005,513100.SH,518880.SH,2023-10-19,2023-11-16,20,-0.0030780344211149835
0.0005,518880.SH,513100.SH,2023-11-16,2023-12-08,16,-0.018954086182874308
0.0005,513100.SH,518880.SH,2023-12-08,2023-12-15,5,0.016488167217194816
0.0005,518880.SH,513100.SH,2023-12-15,2024-01-11,18,0.011445663645442083
0.0005,513100.SH,518880.SH,2024-01-11,2024-01-22,7,0.012123395234760359
0.0005,518880.SH,510300.SH,2024-07-22,2024-07-29,5,-0.03349617031687491
0.0005,518880.SH,513100.SH,2024-09-02,2024-09-09,5,-0.043035851605981446
0.0005,518880.SH,159915.SZ,2024-09-26,2024-11-04,22,0.3035316679884277
0.0005,159915.SZ,518880.SH,2024-11-04,2024-11-11,5,-0.020407749973215816
0.0005,513100.SH,518880.SH,2024-12-13,2024-12-20,5,-0.022576362664889826
0.0005,518880.SH,513100.SH,2024-12-20,2025-01-13,15,0.004600927196342308
0.0005,518880.SH,159915.SZ,2025-02-18,2025-02-26,6,0.009450262304724788
0.0005,159915.SZ,518880.SH,2025-02-26,2025-03-06,6,-0.001578496122846329
0.0005,513100.SH,518880.SH,2025-06-13,2025-06-23,6,-0.03563881497842836
0.0005,513100.SH,159915.SZ,2025-06-30,2025-07-07,5,0.014446862348474587
0.0005,159915.SZ,513100.SH,2025-07-07,2025-07-14,5,-0.0034815181271157236
0.0005,518880.SH,513100.SH,2025-09-30,2025-10-15,5,0.012144984654963054
0.0005,513100.SH,518880.SH,2025-10-15,2025-10-28,9,-0.01823811189763258
0.0005,159915.SZ,518880.SH,2025-11-25,2025-12-10,11,0.020907248496968567
0.0005,518880.SH,159915.SZ,2025-12-10,2025-12-17,5,-0.032216083478991075
0.0005,159915.SZ,518880.SH,2025-12-17,2025-12-31,10,0.007427924052184842
0.0005,518880.SH,159915.SZ,2025-12-31,2026-01-09,5,0.01700596602327553
0.0005,159915.SZ,518880.SH,2026-01-09,2026-01-16,5,0.027976070674886167
0.0005,518880.SH,159915.SZ,2026-01-16,2026-01-23,5,-0.021598352266301357
0.0005,159915.SZ,518880.SH,2026-01-23,2026-03-09,25,0.025973325753887
0.0005,518880.SH,159915.SZ,2026-03-09,2026-03-16,5,0.03512131635237359
0.0005,159915.SZ,518880.SH,2026-03-16,2026-03-23,5,-0.06697860646210041
0.0005,159915.SZ,513100.SH,2026-04-09,2026-04-16,5,0.007889349585367578
0.0005,513100.SH,159915.SZ,2026-04-16,2026-04-27,7,0.06310135235718883
0.0005,159915.SZ,513100.SH,2026-04-27,2026-05-08,6,0.06577551827367611
0.0005,513100.SH,159915.SZ,2026-05-08,2026-05-15,5,0.036621516042770086
0.001,518880.SH,510300.SH,2014-03-27,2014-04-29,22,-0.017020840107938362
0.001,513100.SH,159915.SZ,2014-06-16,2014-06-23,5,-0.030288066372988198
0.001,513100.SH,518880.SH,2014-06-30,2014-07-08,6,-0.006653149368081479
0.001,159915.SZ,513100.SH,2014-09-04,2014-09-12,5,-0.010440314693142438
0.001,159915.SZ,510300.SH,2014-09-22,2014-09-29,5,0.0007735149035270616
0.001,510300.SH,513100.SH,2014-11-10,2014-11-24,10,0.01592681258183548
0.001,159915.SZ,513100.SH,2015-02-26,2015-03-05,5,0.011512733791386509
0.001,159915.SZ,510300.SH,2015-03-31,2015-04-08,5,0.021612430896046364
0.001,510300.SH,159915.SZ,2015-04-08,2015-04-15,5,0.0025697387713996545
