asset,entry_date,exit_date,next_entry_date,holding_days,pnl
159915.SZ,2022-11-04,2022-11-10,2022-11-11,5,-0.008427830931458824
518880.SH,2022-11-11,2022-11-25,2022-11-28,11,0.04400311640455801
510300.SH,2022-11-28,2022-12-02,2022-12-05,5,0.04642604427611374
518880.SH,2022-12-05,2022-12-09,2022-12-12,5,-0.000978880738200738
510300.SH,2022-12-12,2022-12-21,2022-12-22,8,-0.035563738758464636
518880.SH,2022-12-22,2023-01-12,2023-01-13,15,0.013779634209845293
159915.SZ,2023-01-13,2023-02-06,2023-02-07,12,0.030697079653066783
513100.SH,2023-02-07,2023-03-02,2023-03-03,18,-0.02898045514563341
510300.SH,2023-03-03,2023-03-09,2023-03-10,5,-0.018743800983535563
518880.SH,2023-03-10,2023-03-30,2023-03-31,15,0.03957842483055796
513100.SH,2023-03-31,2023-04-07,2023-04-10,5,0.005294556763454583
518880.SH,2023-04-10,2023-04-14,2023-04-17,5,0.01490907891237958
159915.SZ,2023-04-17,2023-04-21,2023-04-24,5,-0.05153399285134541
513100.SH,2023-04-24,2023-05-04,2023-05-05,6,0.00991941373133387
518880.SH,2023-05-05,2023-05-11,2023-05-12,5,-0.00843262594494587
513100.SH,2023-05-12,2023-07-21,2023-07-24,49,0.18709627213853075
518880.SH,2023-07-24,2023-07-28,2023-07-31,5,-0.014044810694172405
510300.SH,2023-07-31,2023-08-11,2023-08-14,10,-0.03590376766141434
518880.SH,2023-08-14,2023-08-18,2023-08-21,5,-0.0066997634645985515
510300.SH,2023-08-21,2023-08-25,2023-08-28,5,-0.015329026499637188
518880.SH,2023-08-28,2023-09-15,2023-09-18,15,0.0860578586624603
513100.SH,2023-09-18,2023-09-22,2023-09-25,5,-0.029304908027305343
518880.SH,2023-09-25,2023-10-10,2023-10-11,6,-0.04825679899644175
513100.SH,2023-10-11,2023-10-18,2023-10-19,6,-0.0010730846099344937
518880.SH,2023-10-19,2023-11-13,2023-11-14,18,-0.011572672100288228
513100.SH,2023-11-14,2023-11-20,2023-11-21,5,0.00684172476735001
159915.SZ,2023-11-21,2023-11-27,2023-11-28,5,-0.024841793625575037
513100.SH,2023-11-28,2023-12-07,2023-12-08,8,-0.013578419290821708
518880.SH,2023-12-08,2023-12-14,2023-12-15,5,0.016488167217194816
513100.SH,2023-12-15,2024-01-10,2024-01-11,18,0.011445663645442083
518880.SH,2024-01-11,2024-01-19,2024-01-22,7,0.012123395234760359
513100.SH,2024-01-22,2024-02-26,2024-02-27,20,0.03119447703023126
510300.SH,2024-02-27,2024-03-04,2024-03-05,5,0.026580646565626642
159915.SZ,2024-03-05,2024-03-21,2024-03-22,13,0.03859512983371305
518880.SH,2024-03-22,2024-05-06,2024-05-07,27,0.06097741772710141
510300.SH,2024-05-07,2024-05-20,2024-05-21,10,0.015114548859833876
513100.SH,2024-05-21,2024-07-12,2024-07-15,38,0.0913380281143441
518880.SH,2024-07-15,2024-07-19,2024-07-22,5,0.003518300257471463
510300.SH,2024-07-22,2024-07-26,2024-07-29,5,-0.03349617031687491
518880.SH,2024-07-29,2024-08-30,2024-09-02,25,0.02215678799719467
513100.SH,2024-09-02,2024-09-06,2024-09-09,5,-0.043035851605981446
518880.SH,2024-09-09,2024-09-25,2024-09-26,11,0.028737617752725653
159915.SZ,2024-09-26,2024-11-01,2024-11-04,22,0.3035316679884277
518880.SH,2024-11-04,2024-11-08,2024-11-11,5,-0.020407749973215816
159915.SZ,2024-11-11,2024-11-15,2024-11-18,5,-0.020133850771761663
513100.SH,2024-11-18,2024-12-12,2024-12-13,19,0.08478336151062371
518880.SH,2024-12-13,2024-12-19,2024-12-20,5,-0.022576362664889826
513100.SH,2024-12-20,2025-01-10,2025-01-13,15,0.004600927196342308
518880.SH,2025-01-13,2025-02-17,2025-02-18,20,0.052412047334562395
159915.SZ,2025-02-18,2025-02-25,2025-02-26,6,0.009450262304724788
518880.SH,2025-02-26,2025-03-05,2025-03-06,6,-0.001578496122846329
159915.SZ,2025-03-06,2025-03-12,2025-03-13,5,-0.008790112956048368
510300.SH,2025-03-13,2025-03-19,2025-03-20,5,0.019492580758338596
518880.SH,2025-03-20,2025-05-08,2025-05-09,32,0.10784247998976393
159915.SZ,2025-05-09,2025-05-15,2025-05-16,5,-0.00152451108137297
513100.SH,2025-05-16,2025-06-12,2025-06-13,19,0.0032036574913110183
518880.SH,2025-06-13,2025-06-19,2025-06-20,5,-0.031877858232109646
513100.SH,2025-06-20,2025-06-26,2025-06-27,5,0.02732927427130205
159915.SZ,2025-06-27,2025-07-04,2025-07-07,6,0.021213939839886065
513100.SH,2025-07-07,2025-07-11,2025-07-14,5,-0.0034815181271157236
159915.SZ,2025-07-14,2025-09-22,2025-09-23,51,0.4074181114534643
518880.SH,2025-09-23,2025-09-29,2025-09-30,5,0.02717338014896109
513100.SH,2025-09-30,2025-10-14,2025-10-15,5,0.012144984654963054
518880.SH,2025-10-15,2025-10-27,2025-10-28,9,-0.01823811189763258
513100.SH,2025-10-28,2025-11-17,2025-11-18,15,-0.04754061289207101
159915.SZ,2025-11-18,2025-11-24,2025-11-25,5,-0.06654862463862765
518880.SH,2025-11-25,2025-12-09,2025-12-10,11,0.020907248496968567
159915.SZ,2025-12-10,2025-12-16,2025-12-17,5,-0.032216083478991075
518880.SH,2025-12-17,2025-12-30,2025-12-31,10,0.007427924052184842
159915.SZ,2025-12-31,2026-01-08,2026-01-09,5,0.01700596602327553
518880.SH,2026-01-09,2026-01-15,2026-01-16,5,0.027976070674886167
159915.SZ,2026-01-16,2026-01-22,2026-01-23,5,-0.021598352266301357
518880.SH,2026-01-23,2026-03-05,2026-03-06,24,0.034560061028751754
510300.SH,2026-03-06,2026-03-12,2026-03-13,5,-0.0005582033181827928
518880.SH,2026-03-13,2026-03-19,2026-03-20,5,-0.07146087890446562
159915.SZ,2026-03-20,2026-04-07,2026-04-08,12,-0.07700207724552655
513100.SH,2026-04-08,2026-04-14,2026-04-15,5,0.04906096741265342
159915.SZ,2026-04-15,2026-04-24,2026-04-27,8,0.04086278824039247
513100.SH,2026-04-27,2026-05-07,2026-05-08,6,0.06577551827367611
159915.SZ,2026-05-08,2026-05-14,2026-05-15,5,0.036621516042770086
513100.SH,2026-05-15,2026-05-21,,5,-0.002098719506406943
