tau,date,from_asset,to_asset,traded_weight,cost
0.0025,2015-12-03,159915.SZ,510300.SH,2.0,0.0002
0.0025,2015-12-10,510300.SH,513100.SH,2.0,0.0002
0.0025,2015-12-22,513100.SH,510300.SH,2.0,0.0002
0.0025,2015-12-31,510300.SH,159915.SZ,2.0,0.0002
0.0025,2016-01-08,159915.SZ,518880.SH,2.0,0.0002
0.0025,2016-03-17,518880.SH,513100.SH,2.0,0.0002
0.0025,2016-03-25,513100.SH,510300.SH,2.0,0.0002
0.0025,2016-04-01,510300.SH,159915.SZ,2.0,0.0002
0.0025,2016-04-20,159915.SZ,513100.SH,2.0,0.0002
0.0025,2016-04-28,513100.SH,518880.SH,2.0,0.0002
0.0025,2016-05-30,518880.SH,513100.SH,2.0,0.0002
0.0025,2016-06-07,513100.SH,159915.SZ,2.0,0.0002
0.0025,2016-06-16,159915.SZ,513100.SH,2.0,0.0002
0.0025,2016-06-27,513100.SH,518880.SH,2.0,0.0002
0.0025,2016-07-13,518880.SH,510300.SH,2.0,0.0002
0.0025,2016-07-20,510300.SH,159915.SZ,2.0,0.0002
0.0025,2016-07-27,159915.SZ,513100.SH,2.0,0.0002
0.0025,2016-08-22,513100.SH,510300.SH,2.0,0.0002
0.0025,2016-09-09,510300.SH,159915.SZ,2.0,0.0002
0.0025,2016-09-20,159915.SZ,513100.SH,2.0,0.0002
0.0025,2016-10-25,513100.SH,510300.SH,2.0,0.0002
0.0025,2016-11-08,510300.SH,518880.SH,2.0,0.0002
0.0025,2016-11-15,518880.SH,510300.SH,2.0,0.0002
0.0025,2016-12-08,510300.SH,513100.SH,2.0,0.0002
0.0025,2017-01-17,513100.SH,518880.SH,2.0,0.0002
0.0025,2017-02-07,518880.SH,513100.SH,2.0,0.0002
0.0025,2017-04-06,513100.SH,510300.SH,2.0,0.0002
0.0025,2017-04-13,510300.SH,518880.SH,2.0,0.0002
0.0025,2017-04-27,518880.SH,513100.SH,2.0,0.0002
0.0025,2017-06-08,513100.SH,510300.SH,2.0,0.0002
0.0025,2017-07-27,510300.SH,513100.SH,2.0,0.0002
0.0025,2017-08-11,513100.SH,518880.SH,2.0,0.0002
0.0025,2017-08-18,518880.SH,159915.SZ,2.0,0.0002
0.0025,2017-09-14,159915.SZ,510300.SH,2.0,0.0002
0.0025,2017-09-21,510300.SH,159915.SZ,2.0,0.0002
0.0025,2017-10-10,159915.SZ,513100.SH,2.0,0.0002
0.0025,2017-10-25,513100.SH,510300.SH,2.0,0.0002
0.0025,2017-11-01,510300.SH,513100.SH,2.0,0.0002
0.0025,2017-11-14,513100.SH,510300.SH,2.0,0.0002
0.0025,2017-11-24,510300.SH,513100.SH,2.0,0.0002
0.0025,2018-01-03,513100.SH,510300.SH,2.0,0.0002
0.0025,2018-01-10,510300.SH,518880.SH,2.0,0.0002
0.0025,2018-01-17,518880.SH,510300.SH,2.0,0.0002
0.0025,2018-01-31,510300.SH,513100.SH,2.0,0.0002
0.0025,2018-02-07,513100.SH,518880.SH,2.0,0.0002
0.0025,2018-02-28,518880.SH,513100.SH,2.0,0.0002
0.0025,2018-03-08,513100.SH,159915.SZ,2.0,0.0002
0.0025,2018-04-12,159915.SZ,518880.SH,2.0,0.0002
0.0025,2018-04-25,518880.SH,159915.SZ,2.0,0.0002
0.0025,2018-05-04,159915.SZ,513100.SH,2.0,0.0002
0.0025,2018-05-21,513100.SH,510300.SH,2.0,0.0002
0.0025,2018-05-28,510300.SH,513100.SH,2.0,0.0002
0.0025,2018-08-01,513100.SH,510300.SH,2.0,0.0002
0.0025,2018-08-08,510300.SH,513100.SH,2.0,0.0002
0.0025,2018-09-14,513100.SH,518880.SH,2.0,0.0002
0.0025,2018-10-08,518880.SH,510300.SH,2.0,0.0002
0.0025,2018-10-15,510300.SH,518880.SH,2.0,0.0002
0.0025,2018-11-09,518880.SH,159915.SZ,2.0,0.0002
0.0025,2018-12-11,159915.SZ,518880.SH,2.0,0.0002
0.0025,2019-01-22,518880.SH,513100.SH,2.0,0.0002
0.0025,2019-01-31,513100.SH,510300.SH,2.0,0.0002
0.0025,2019-02-18,510300.SH,159915.SZ,2.0,0.0002
0.0025,2019-03-27,159915.SZ,513100.SH,2.0,0.0002
0.0025,2019-04-09,513100.SH,510300.SH,2.0,0.0002
0.0025,2019-04-24,510300.SH,513100.SH,2.0,0.0002
0.0025,2019-05-16,513100.SH,518880.SH,2.0,0.0002
0.0025,2019-07-02,518880.SH,510300.SH,2.0,0.0002
0.0025,2019-07-10,510300.SH,518880.SH,2.0,0.0002
0.0025,2019-07-17,518880.SH,513100.SH,2.0,0.0002
0.0025,2019-08-02,513100.SH,159915.SZ,2.0,0.0002
0.0025,2019-08-09,159915.SZ,518880.SH,2.0,0.0002
0.0025,2019-09-03,518880.SH,159915.SZ,2.0,0.0002
0.0025,2019-09-27,159915.SZ,513100.SH,2.0,0.0002
0.0025,2019-12-11,513100.SH,159915.SZ,2.0,0.0002
0.0025,2020-01-06,159915.SZ,513100.SH,2.0,0.0002
0.0025,2020-01-14,513100.SH,159915.SZ,2.0,0.0002
0.0025,2020-02-03,159915.SZ,513100.SH,2.0,0.0002
0.0025,2020-02-21,513100.SH,159915.SZ,2.0,0.0002
0.0025,2020-02-28,159915.SZ,518880.SH,2.0,0.0002
0.0025,2020-03-06,518880.SH,510300.SH,2.0,0.0002
0.0025,2020-03-13,510300.SH,518880.SH,2.0,0.0002
0.0025,2020-04-23,518880.SH,159915.SZ,2.0,0.0002
0.0025,2020-04-30,159915.SZ,513100.SH,2.0,0.0002
0.0025,2020-06-01,513100.SH,518880.SH,2.0,0.0002
0.0025,2020-06-09,518880.SH,510300.SH,2.0,0.0002
0.0025,2020-06-16,510300.SH,159915.SZ,2.0,0.0002
0.0025,2020-07-07,159915.SZ,510300.SH,2.0,0.0002
0.0025,2020-07-14,510300.SH,159915.SZ,2.0,0.0002
0.0025,2020-07-27,159915.SZ,518880.SH,2.0,0.0002
0.0025,2020-08-13,518880.SH,513100.SH,2.0,0.0002
0.0025,2020-09-29,513100.SH,510300.SH,2.0,0.0002
0.0025,2020-10-14,510300.SH,159915.SZ,2.0,0.0002
0.0025,2020-11-09,159915.SZ,510300.SH,2.0,0.0002
0.0025,2020-12-16,510300.SH,159915.SZ,2.0,0.0002
0.0025,2020-12-30,159915.SZ,518880.SH,2.0,0.0002
0.0025,2021-01-07,518880.SH,159915.SZ,2.0,0.0002
0.0025,2021-01-14,159915.SZ,510300.SH,2.0,0.0002
0.0025,2021-01-21,510300.SH,159915.SZ,2.0,0.0002
0.0025,2021-02-04,159915.SZ,513100.SH,2.0,0.0002
0.0025,2021-03-04,513100.SH,510300.SH,2.0,0.0002
0.0025,2021-03-11,510300.SH,513100.SH,2.0,0.0002
0.0025,2021-03-22,513100.SH,518880.SH,2.0,0.0002
0.0025,2021-04-02,518880.SH,513100.SH,2.0,0.0002
0.0025,2021-04-22,513100.SH,159915.SZ,2.0,0.0002
