switch_date,from_asset,to_asset,next_switch_date,holding_days,holding_period_return,whipsaw_le_5d_loss
2024-07-29,510300.SH,518880.SH,2024-09-02,25,0.022361800063280146,False
2024-09-02,518880.SH,513100.SH,2024-09-09,5,-0.04284382921269969,True
2024-09-09,513100.SH,518880.SH,2024-09-26,11,0.028947221550425173,False
2024-09-26,518880.SH,159915.SZ,2024-11-04,22,0.30377888032531986,False
2024-11-04,159915.SZ,518880.SH,2024-11-11,5,-0.02021134637681221,True
2024-11-11,518880.SH,159915.SZ,2024-11-18,5,-0.01994619645077378,True
2024-11-18,159915.SZ,513100.SH,2024-12-13,19,0.08499910533984312,False
2024-12-13,513100.SH,518880.SH,2024-12-20,5,-0.02238022868721945,True
2024-12-20,518880.SH,513100.SH,2025-01-13,15,0.004805059945246715,False
2025-01-13,513100.SH,518880.SH,2025-02-18,20,0.05262426955678445,False
2025-02-18,518880.SH,159915.SZ,2025-02-26,6,0.009655589407528309,False
2025-02-26,159915.SZ,518880.SH,2025-03-06,6,-0.0013776370953881845,False
2025-03-06,518880.SH,159915.SZ,2025-03-13,5,-0.008593946821863097,True
2025-03-13,159915.SZ,510300.SH,2025-03-20,5,0.019697774266453694,False
2025-03-20,510300.SH,518880.SH,2025-05-09,32,0.10806451612903234,False
2025-05-09,518880.SH,159915.SZ,2025-05-16,5,-0.001321688500727669,True
2025-05-16,159915.SZ,513100.SH,2025-06-13,19,0.0034049387212915505,False
2025-06-13,513100.SH,518880.SH,2025-06-20,5,-0.03168110019310055,True
2025-06-20,518880.SH,513100.SH,2025-06-27,5,0.027534523951199263,False
2025-06-27,513100.SH,159915.SZ,2025-07-07,6,0.021416986008377492,False
2025-07-07,159915.SZ,513100.SH,2025-07-14,5,-0.003281762775433461,True
2025-07-14,513100.SH,159915.SZ,2025-09-23,51,0.40770125339191177,False
2025-09-23,159915.SZ,518880.SH,2025-09-30,5,0.02737622922178451,False
2025-09-30,518880.SH,513100.SH,2025-10-15,5,0.012344653711775067,False
2025-10-15,513100.SH,518880.SH,2025-10-28,9,-0.018044055078213828,False
2025-10-28,518880.SH,513100.SH,2025-11-18,15,-0.047345916308695224,False
2025-11-18,513100.SH,159915.SZ,2025-11-25,5,-0.0663579986143733,True
2025-11-25,159915.SZ,518880.SH,2025-12-10,11,0.02110804760906526,False
2025-12-10,518880.SH,159915.SZ,2025-12-17,5,-0.03202435415568283,True
2025-12-17,159915.SZ,518880.SH,2025-12-31,10,0.007629062612871884,False
2025-12-31,518880.SH,159915.SZ,2026-01-09,5,0.017212306261819244,False
2026-01-09,159915.SZ,518880.SH,2026-01-16,5,0.028181804619840323,False
2026-01-16,518880.SH,159915.SZ,2026-01-23,5,-0.021400205225057922,True
2026-01-23,159915.SZ,518880.SH,2026-03-06,24,0.03476659771519741,False
2026-03-06,518880.SH,510300.SH,2026-03-13,5,-0.00035704625797272627,True
2026-03-13,510300.SH,518880.SH,2026-03-20,5,-0.07127339510516928,True
2026-03-20,518880.SH,159915.SZ,2026-04-08,12,-0.07681345108569426,False
2026-04-08,159915.SZ,513100.SH,2026-04-15,5,0.0492600945266739,False
2026-04-15,513100.SH,159915.SZ,2026-04-27,8,0.04107207334435148,False
2026-04-27,159915.SZ,513100.SH,2026-05-08,6,0.06598672649989723,False
2026-05-08,513100.SH,159915.SZ,2026-05-15,5,0.03682966107692698,False
2026-05-15,159915.SZ,513100.SH,,3,-0.028476506881822683,True
