tau,asset,entry_date,exit_date,next_entry_date,holding_days,pnl
0.001,513100.SH,2023-03-31,2023-04-07,2023-04-10,5,0.005294556763454583
0.001,518880.SH,2023-04-10,2023-04-14,2023-04-17,5,0.01490907891237958
0.001,159915.SZ,2023-04-17,2023-04-21,2023-04-24,5,-0.05153399285134541
0.001,513100.SH,2023-04-24,2023-05-04,2023-05-05,6,0.00991941373133387
0.001,518880.SH,2023-05-05,2023-05-11,2023-05-12,5,-0.00843262594494587
0.001,513100.SH,2023-05-12,2023-07-21,2023-07-24,49,0.18709627213853075
0.001,518880.SH,2023-07-24,2023-07-28,2023-07-31,5,-0.014044810694172405
0.001,510300.SH,2023-07-31,2023-08-21,2023-08-22,16,-0.07251501699072782
0.001,518880.SH,2023-08-22,2023-09-15,2023-09-18,19,0.030363766813669812
0.001,513100.SH,2023-09-18,2023-09-22,2023-09-25,5,-0.029304908027305343
0.001,518880.SH,2023-09-25,2023-10-10,2023-10-11,6,-0.04825679899644175
0.001,513100.SH,2023-10-11,2023-10-18,2023-10-19,6,-0.0010730846099344937
0.001,518880.SH,2023-10-19,2023-11-15,2023-11-16,20,-0.0030780344211149835
0.001,513100.SH,2023-11-16,2023-12-07,2023-12-08,16,-0.018954086182874308
0.001,518880.SH,2023-12-08,2023-12-14,2023-12-15,5,0.016488167217194816
0.001,513100.SH,2023-12-15,2024-01-10,2024-01-11,18,0.011445663645442083
0.001,518880.SH,2024-01-11,2024-01-19,2024-01-22,7,0.012123395234760359
0.001,513100.SH,2024-01-22,2024-02-26,2024-02-27,20,0.03119447703023126
0.001,510300.SH,2024-02-27,2024-03-04,2024-03-05,5,0.026580646565626642
0.001,159915.SZ,2024-03-05,2024-03-21,2024-03-22,13,0.03859512983371305
0.001,518880.SH,2024-03-22,2024-05-07,2024-05-08,28,0.06380453684552156
0.001,510300.SH,2024-05-08,2024-05-20,2024-05-21,9,0.009131363480523236
0.001,513100.SH,2024-05-21,2024-07-12,2024-07-15,38,0.0913380281143441
0.001,518880.SH,2024-07-15,2024-07-19,2024-07-22,5,0.003518300257471463
0.001,510300.SH,2024-07-22,2024-07-29,2024-07-30,6,-0.03906038349870067
0.001,518880.SH,2024-07-30,2024-09-02,2024-09-03,25,0.018253735981091257
0.001,513100.SH,2024-09-03,2024-09-11,2024-09-12,7,-0.03880452129213152
0.001,518880.SH,2024-09-12,2024-09-25,2024-09-26,8,0.06604313754649671
0.001,159915.SZ,2024-09-26,2024-11-01,2024-11-04,22,0.3035316679884277
0.001,518880.SH,2024-11-04,2024-11-08,2024-11-11,5,-0.020407749973215816
0.001,159915.SZ,2024-11-11,2024-11-15,2024-11-18,5,-0.020133850771761663
0.001,513100.SH,2024-11-18,2024-12-12,2024-12-13,19,0.08478336151062371
0.001,518880.SH,2024-12-13,2024-12-19,2024-12-20,5,-0.022576362664889826
0.001,513100.SH,2024-12-20,2025-01-13,2025-01-14,16,-0.0188192171186643
0.001,518880.SH,2025-01-14,2025-02-17,2025-02-18,19,0.08106198505851636
0.001,159915.SZ,2025-02-18,2025-02-25,2025-02-26,6,0.009450262304724788
0.001,518880.SH,2025-02-26,2025-03-05,2025-03-06,6,-0.001578496122846329
0.001,159915.SZ,2025-03-06,2025-03-14,2025-03-17,7,0.008275855317858571
0.001,510300.SH,2025-03-17,2025-03-21,2025-03-24,5,-0.025531301614995394
0.001,518880.SH,2025-03-24,2025-05-08,2025-05-09,30,0.11574686714182825
0.001,159915.SZ,2025-05-09,2025-05-15,2025-05-16,5,-0.00152451108137297
0.001,513100.SH,2025-05-16,2025-06-12,2025-06-13,19,0.0032036574913110183
0.001,518880.SH,2025-06-13,2025-06-20,2025-06-23,6,-0.03563881497842836
0.001,513100.SH,2025-06-23,2025-06-27,2025-06-30,5,0.04588101541436651
0.001,159915.SZ,2025-06-30,2025-07-04,2025-07-07,5,0.014446862348474587
0.001,513100.SH,2025-07-07,2025-07-11,2025-07-14,5,-0.0034815181271157236
0.001,159915.SZ,2025-07-14,2025-09-22,2025-09-23,51,0.4074181114534643
0.001,518880.SH,2025-09-23,2025-09-29,2025-09-30,5,0.02717338014896109
0.001,513100.SH,2025-09-30,2025-10-14,2025-10-15,5,0.012144984654963054
0.001,518880.SH,2025-10-15,2025-10-27,2025-10-28,9,-0.01823811189763258
0.001,513100.SH,2025-10-28,2025-11-17,2025-11-18,15,-0.04754061289207101
0.001,159915.SZ,2025-11-18,2025-11-24,2025-11-25,5,-0.06654862463862765
0.001,518880.SH,2025-11-25,2025-12-09,2025-12-10,11,0.020907248496968567
0.001,159915.SZ,2025-12-10,2025-12-16,2025-12-17,5,-0.032216083478991075
0.001,518880.SH,2025-12-17,2025-12-30,2025-12-31,10,0.007427924052184842
0.001,159915.SZ,2025-12-31,2026-01-08,2026-01-09,5,0.01700596602327553
0.001,518880.SH,2026-01-09,2026-01-15,2026-01-16,5,0.027976070674886167
0.001,159915.SZ,2026-01-16,2026-01-22,2026-01-23,5,-0.021598352266301357
0.001,518880.SH,2026-01-23,2026-03-06,2026-03-09,25,0.025973325753887
0.001,159915.SZ,2026-03-09,2026-03-13,2026-03-16,5,0.03512131635237359
0.001,518880.SH,2026-03-16,2026-03-20,2026-03-23,5,-0.06697860646210041
0.001,159915.SZ,2026-03-23,2026-04-08,2026-04-09,12,-0.028361875365921496
0.001,513100.SH,2026-04-09,2026-04-15,2026-04-16,5,0.007889349585367578
0.001,159915.SZ,2026-04-16,2026-04-27,2026-04-28,8,0.05673547599576856
0.001,513100.SH,2026-04-28,2026-05-21,,15,0.07450621185145434
0.0025,159915.SZ,2014-02-07,2014-02-19,2014-02-20,9,0.037804359131725196
0.0025,518880.SH,2014-02-20,2014-03-31,2014-04-01,28,0.000368125227016014
0.0025,510300.SH,2014-04-01,2014-04-28,2014-04-29,19,-0.007422801974167337
0.0025,518880.SH,2014-04-29,2014-05-13,2014-05-14,9,-0.012756462950196279
0.0025,513100.SH,2014-05-14,2014-06-13,2014-06-16,22,0.048337228706824886
0.0025,159915.SZ,2014-06-16,2014-06-20,2014-06-23,5,-0.030288066372988198
0.0025,513100.SH,2014-06-23,2014-06-27,2014-06-30,5,0.006147295521180984
0.0025,518880.SH,2014-06-30,2014-07-07,2014-07-08,6,-0.006653149368081479
0.0025,513100.SH,2014-07-08,2014-07-22,2014-07-23,11,0.0009406510603426899
0.0025,510300.SH,2014-07-23,2014-08-20,2014-08-21,21,0.08206610282419824
0.0025,159915.SZ,2014-08-21,2014-09-03,2014-09-04,10,0.035048406335002724
0.0025,513100.SH,2014-09-04,2014-09-11,2014-09-12,5,-0.010440314693142438
0.0025,159915.SZ,2014-09-12,2014-10-31,2014-11-03,31,0.00551303139303716
0.0025,510300.SH,2014-11-03,2014-11-07,2014-11-10,5,-0.004720333347671968
0.0025,513100.SH,2014-11-10,2014-11-21,2014-11-24,10,0.01592681258183548
0.0025,510300.SH,2014-11-24,2015-01-19,2015-01-20,39,0.24352952714927323
0.0025,518880.SH,2015-01-20,2015-01-27,2015-01-28,6,-0.00020264551483040183
0.0025,159915.SZ,2015-01-28,2015-02-25,2015-02-26,16,0.08479728548064691
0.0025,513100.SH,2015-02-26,2015-03-04,2015-03-05,5,0.011512733791386509
0.0025,159915.SZ,2015-03-05,2015-03-30,2015-03-31,18,0.12402576994327252
0.0025,510300.SH,2015-03-31,2015-04-07,2015-04-08,5,0.021612430896046364
0.0025,159915.SZ,2015-04-08,2015-04-14,2015-04-15,5,0.0025697387713996545
0.0025,510300.SH,2015-04-15,2015-05-06,2015-05-07,15,0.0250782916952077
0.0025,159915.SZ,2015-05-07,2015-06-08,2015-06-09,23,0.2962417286384209
0.0025,510300.SH,2015-06-09,2015-06-19,2015-06-23,9,-0.14835286997102115
0.0025,513100.SH,2015-06-23,2015-07-06,2015-07-07,10,-0.03227679777091175
0.0025,518880.SH,2015-07-07,2015-07-14,2015-07-15,6,-0.0025940251222559274
0.0025,513100.SH,2015-07-15,2015-08-04,2015-08-05,15,0.03934010362866047
0.0025,159915.SZ,2015-08-05,2015-08-11,2015-08-12,5,0.06031303799404286
0.0025,513100.SH,2015-08-12,2015-08-19,2015-08-20,6,-0.001074115348120186
0.0025,518880.SH,2015-08-20,2015-09-22,2015-09-23,22,-0.0042588993515275675
0.0025,513100.SH,2015-09-23,2015-09-29,2015-09-30,5,-0.04526797575746733
0.0025,159915.SZ,2015-09-30,2015-11-03,2015-11-04,20,0.16555542963860836
0.0025,513100.SH,2015-11-04,2015-11-10,2015-11-11,5,-0.002600862722398456
0.0025,159915.SZ,2015-11-11,2015-12-02,2015-12-03,16,-0.06044064024763196
0.0025,510300.SH,2015-12-03,2015-12-09,2015-12-10,5,-0.023055629524192156
0.0025,513100.SH,2015-12-10,2015-12-21,2015-12-22,8,-0.01068788416337485
0.0025,510300.SH,2015-12-22,2015-12-30,2015-12-31,7,-0.021093844729472844
0.0025,159915.SZ,2015-12-31,2016-01-07,2016-01-08,5,-0.19818823124263385
0.0025,518880.SH,2016-01-08,2016-03-16,2016-03-17,44,0.1446678774332144
0.0025,513100.SH,2016-03-17,2016-03-24,2016-03-25,6,0.012923138663538447
0.0025,510300.SH,2016-03-25,2016-03-31,2016-04-01,5,0.012835582308660554
0.0025,159915.SZ,2016-04-01,2016-04-19,2016-04-20,12,0.021576368022071746
0.0025,513100.SH,2016-04-20,2016-04-27,2016-04-28,6,-0.018248261810138167
0.0025,518880.SH,2016-04-28,2016-05-27,2016-05-30,21,-0.005253661930003539
0.0025,513100.SH,2016-05-30,2016-06-06,2016-06-07,6,-0.008648841253393602
0.0025,159915.SZ,2016-06-07,2016-06-15,2016-06-16,5,-0.022538793269012758
0.0025,513100.SH,2016-06-16,2016-06-24,2016-06-27,7,-0.014732558139535001
0.0025,518880.SH,2016-06-27,2016-07-12,2016-07-13,12,0.01816473312815381
0.0025,510300.SH,2016-07-13,2016-07-19,2016-07-20,5,-0.02706393127244966
0.0025,159915.SZ,2016-07-20,2016-07-26,2016-07-27,5,0.0022594847316232958
0.0025,513100.SH,2016-07-27,2016-08-19,2016-08-22,18,0.025416885927641575
0.0025,510300.SH,2016-08-22,2016-09-08,2016-09-09,14,-0.006932011396856841
0.0025,159915.SZ,2016-09-09,2016-09-19,2016-09-20,5,-0.02605450721302549
0.0025,513100.SH,2016-09-20,2016-10-24,2016-10-25,20,0.016367462157840462
0.0025,510300.SH,2016-10-25,2016-11-07,2016-11-08,10,0.002548517799372707
0.0025,518880.SH,2016-11-08,2016-11-14,2016-11-15,5,-0.032407619926065445
0.0025,510300.SH,2016-11-15,2016-12-07,2016-12-08,17,0.023074536315686567
0.0025,513100.SH,2016-12-08,2017-01-16,2017-01-17,27,0.036918493840316424
0.0025,518880.SH,2017-01-17,2017-02-06,2017-02-07,10,0.005758511984007342
0.0025,513100.SH,2017-02-07,2017-04-05,2017-04-06,40,0.06715108468777231
0.0025,510300.SH,2017-04-06,2017-04-12,2017-04-13,5,-0.011504113992325982
0.0025,518880.SH,2017-04-13,2017-04-26,2017-04-27,10,-0.024388951692035588
0.0025,513100.SH,2017-04-27,2017-06-07,2017-06-08,27,0.047953460706211315
0.0025,510300.SH,2017-06-08,2017-07-26,2017-07-27,35,0.0650129729807225
0.0025,513100.SH,2017-07-27,2017-08-10,2017-08-11,11,-0.018460933742485808
0.0025,518880.SH,2017-08-11,2017-08-17,2017-08-18,5,-0.016912231432210323
0.0025,159915.SZ,2017-08-18,2017-09-13,2017-09-14,19,0.033739679556858526
0.0025,510300.SH,2017-09-14,2017-09-20,2017-09-21,5,0.0005683137867884547
0.0025,159915.SZ,2017-09-21,2017-10-09,2017-10-10,8,-0.0013121251044408977
0.0025,513100.SH,2017-10-10,2017-10-24,2017-10-25,11,0.009647397533639301
0.0025,510300.SH,2017-10-25,2017-10-31,2017-11-01,5,0.011027268847335847
0.0025,513100.SH,2017-11-01,2017-11-13,2017-11-14,9,0.008273985236455283
0.0025,510300.SH,2017-11-14,2017-11-23,2017-11-24,8,-0.010435578244259558
0.0025,513100.SH,2017-11-24,2018-01-02,2018-01-03,27,0.0005472323874984308
0.0025,510300.SH,2018-01-03,2018-01-09,2018-01-10,5,0.03600704650616615
0.0025,518880.SH,2018-01-10,2018-01-16,2018-01-17,5,0.01751603412430347
0.0025,510300.SH,2018-01-17,2018-01-30,2018-01-31,10,-0.011323315859833483
0.0025,513100.SH,2018-01-31,2018-02-06,2018-02-07,5,-0.09306213268925112
0.0025,518880.SH,2018-02-07,2018-02-27,2018-02-28,10,0.0408046921901386
0.0025,513100.SH,2018-02-28,2018-03-07,2018-03-08,6,-0.0060329871526404455
0.0025,159915.SZ,2018-03-08,2018-04-11,2018-04-12,23,0.03543579750270354
0.0025,518880.SH,2018-04-12,2018-04-24,2018-04-25,9,-0.014196849513908538
0.0025,159915.SZ,2018-04-25,2018-05-03,2018-05-04,5,0.01779461651626435
0.0025,513100.SH,2018-05-04,2018-05-18,2018-05-21,11,0.03628530403827179
0.0025,510300.SH,2018-05-21,2018-05-25,2018-05-28,5,-0.028397741509058272
0.0025,513100.SH,2018-05-28,2018-07-31,2018-08-01,46,0.11255251803464028
0.0025,510300.SH,2018-08-01,2018-08-07,2018-08-08,5,-0.03991835367480123
0.0025,513100.SH,2018-08-08,2018-09-13,2018-09-14,27,-0.024752342084570778
0.0025,518880.SH,2018-09-14,2018-09-28,2018-10-08,10,-0.0037664748175199048
0.0025,510300.SH,2018-10-08,2018-10-12,2018-10-15,5,-0.048203132722483
0.0025,518880.SH,2018-10-15,2018-11-08,2018-11-09,19,0.004977223838053879
0.0025,159915.SZ,2018-11-09,2018-12-10,2018-12-11,22,0.005429900915574937
0.0025,518880.SH,2018-12-11,2019-01-21,2019-01-22,28,0.016461317906180994
0.0025,513100.SH,2019-01-22,2019-01-30,2019-01-31,7,-0.02340151660230938
0.0025,510300.SH,2019-01-31,2019-02-15,2019-02-18,7,0.0706338536059774
0.0025,159915.SZ,2019-02-18,2019-03-26,2019-03-27,27,0.1953783302316534
0.0025,513100.SH,2019-03-27,2019-04-08,2019-04-09,8,0.03746452447703019
0.0025,510300.SH,2019-04-09,2019-04-23,2019-04-24,11,-0.003988544223836321
0.0025,513100.SH,2019-04-24,2019-05-15,2019-05-16,13,-0.026522311493423323
0.0025,518880.SH,2019-05-16,2019-07-01,2019-07-02,32,0.07560949026047936
0.0025,510300.SH,2019-07-02,2019-07-09,2019-07-10,6,-0.027842242118939264
0.0025,518880.SH,2019-07-10,2019-07-16,2019-07-17,5,0.01491155369064412
0.0025,513100.SH,2019-07-17,2019-08-01,2019-08-02,12,-0.010409544904356194
0.0025,159915.SZ,2019-08-02,2019-08-08,2019-08-09,5,-0.017927638247128397
0.0025,518880.SH,2019-08-09,2019-09-02,2019-09-03,17,0.031019219410137966
0.0025,159915.SZ,2019-09-03,2019-09-26,2019-09-27,17,-0.015741500392719265
0.0025,513100.SH,2019-09-27,2019-12-10,2019-12-11,48,0.0795902293632873
0.0025,159915.SZ,2019-12-11,2020-01-03,2020-01-06,17,0.05625093682361504
0.0025,513100.SH,2020-01-06,2020-01-13,2020-01-14,6,0.03565405621390538
0.0025,159915.SZ,2020-01-14,2020-01-23,2020-02-03,8,0.006328321412514937
0.0025,513100.SH,2020-02-03,2020-02-20,2020-02-21,14,0.043023695207410784
0.0025,159915.SZ,2020-02-21,2020-02-27,2020-02-28,5,-0.01443193330229986
0.0025,518880.SH,2020-02-28,2020-03-05,2020-03-06,5,-0.044213428466861715
0.0025,510300.SH,2020-03-06,2020-03-12,2020-03-13,5,-0.03543050184369445
0.0025,518880.SH,2020-03-13,2020-04-22,2020-04-23,28,0.02714652967196729
0.0025,159915.SZ,2020-04-23,2020-04-29,2020-04-30,5,0.007114294997095705
0.0025,513100.SH,2020-04-30,2020-05-29,2020-06-01,19,-0.02159980063030187
0.0025,518880.SH,2020-06-01,2020-06-08,2020-06-09,6,-0.014992402963725393
