tau,baseline_entry_date,baseline_next_entry_date,from_asset,target_asset,tau_entry_date,status,delay_trading_days,baseline_window_pnl,tau_window_pnl,missed_pnl,verdict
0.005,2016-08-18,2016-09-09,513100.SH,510300.SH,2016-08-29,delayed,7,-0.00892365774931092,0.019505241854421707,-0.028428899603732627,correct_avoided_loss
0.005,2016-09-20,2016-10-10,159915.SZ,513100.SH,2016-09-26,delayed,4,-0.0023351018381639888,-0.022120247958090422,0.019785146119926433,wrong_missed_trend
0.005,2016-10-10,2016-10-17,513100.SH,518880.SH,,blocked,5,0.0020620252536220907,0.01581722319859402,-0.01375519794497193,correct_avoided_loss
0.005,2016-10-17,2016-10-24,518880.SH,513100.SH,,blocked,5,-0.0043931627734363765,-0.0034602076124568004,-0.0009329551609795761,correct_avoided_loss
0.005,2016-10-24,2016-11-08,513100.SH,510300.SH,2016-10-25,delayed,1,0.006576316499997015,0.008930481743697705,-0.00235416524370069,correct_avoided_loss
0.005,2016-11-08,2016-11-15,510300.SH,518880.SH,2016-11-10,delayed,2,-0.032407619926065445,-0.03742035620211104,0.005012736276045593,wrong_missed_trend
0.005,2016-11-15,2016-12-08,518880.SH,510300.SH,2016-11-17,delayed,2,0.023074536315686567,0.028911766171011877,-0.00583722985532531,correct_avoided_loss
0.005,2017-01-16,2017-02-03,513100.SH,518880.SH,2017-01-17,delayed,1,-0.008867606161478858,-0.012300695376173065,0.003433089214694207,wrong_missed_trend
0.005,2017-02-03,2017-03-23,518880.SH,513100.SH,2017-02-07,delayed,2,0.07526980137505768,0.08426561673366573,-0.00899581535860805,correct_avoided_loss
0.005,2017-03-23,2017-03-30,513100.SH,518880.SH,,blocked,5,0.009205429413716937,0.006575619625695195,0.002629809788021742,wrong_missed_trend
0.005,2017-03-30,2017-04-10,518880.SH,513100.SH,,blocked,5,-0.02198402474452732,-0.00783360656070653,-0.01415041818382079,correct_avoided_loss
0.005,2017-04-10,2017-04-26,513100.SH,518880.SH,2017-04-13,delayed,3,0.003169115223574215,-0.023475656193693517,0.026644771417267732,wrong_missed_trend
0.005,2017-04-26,2017-06-02,518880.SH,513100.SH,2017-04-27,delayed,1,0.03337438822100247,0.0307527936361498,0.002621594584852671,wrong_missed_trend
0.005,2017-06-02,2017-07-27,513100.SH,510300.SH,2017-06-08,delayed,4,0.08228898295974219,0.07777067510076052,0.004518307858981663,wrong_missed_trend
