execution_date,signal_date,trading_day_of_month,turnover,orders,target_512890.SH,target_511260.SH,target_511360.SH,target_511880.SH,tilt_forward_20d,whipsaw_20d
2021-03-01,2021-02-26,1,1587095.7202400002,4,0.16935483870967738,0.5806451612903226,0.1693548387096774,0.08064516129032258,-0.0038395837598099447,0.10454545454545455
2021-04-01,2021-03-31,1,878298.11408,4,0.20999999999999996,0.4,0.21000000000000002,0.18000000000000002,-0.0026863280605723275,0.0
2021-05-06,2021-04-30,1,756896.8565600001,4,0.35714285714285715,0.24489795918367346,0.21428571428571427,0.1836734693877551,-0.0005814165970668887,0.15510204081632653
2021-06-01,2021-05-31,1,822488.2,3,0.20999999999999996,0.4,0.21000000000000002,0.18000000000000002,0.004336032837753599,0.24
2021-07-01,2021-06-30,1,1491010.59072,4,0.4999999999999999,0.3174603174603175,0.07142857142857142,0.11111111111111112,-0.009290852187400726,0.11056376573617957
2021-08-02,2021-07-30,1,620368.4088000001,4,0.543103448275862,0.20689655172413796,0.12931034482758622,0.12068965517241383,0.015945379239673,0.3832673827020916
2021-09-01,2021-08-31,1,2171212.1059200005,4,0.17213114754098358,0.5901639344262295,0.12295081967213113,0.11475409836065574,-0.006111097847167454,0.046404019037546256
2021-10-14,2021-10-13,5,966750.97632,4,0.34507042253521125,0.5070422535211269,0.1056338028169014,0.04225352112676056,0.0007236217606076381,0.3001457017969889
2021-11-01,2021-10-29,1,823817.47616,4,0.45652173913043476,0.40579710144927544,0.06521739130434782,0.07246376811594205,-4.0121351343699323e-05,0.19890054972513746
2021-12-01,2021-11-30,1,1349046.81854,4,0.20999999999999996,0.4,0.21000000000000002,0.18000000000000002,-0.0077982971760180726,0.0
2022-01-26,2022-01-25,17,881569.5455,4,0.35714285714285715,0.24489795918367346,0.21428571428571427,0.1836734693877551,0.0019358389307658067,0.34526597524255603
2022-02-07,2022-01-28,1,1005677.3519,4,0.5338983050847457,0.2033898305084746,0.17796610169491528,0.08474576271186442,0.011872276257188216,0.41678243956654626
2022-03-01,2022-02-28,1,1834845.0161199998,4,0.35,0.5142857142857143,0.06428571428571428,0.07142857142857144,-3.746643009449835e-05,0.18064516129032254
2022-04-01,2022-03-31,1,1822404.2219799997,4,0.5338983050847457,0.2033898305084746,0.17796610169491528,0.08474576271186442,-0.002387579134749188,0.14043583535108964
2022-05-05,2022-04-29,1,2461194.0277,4,0.17213114754098358,0.5901639344262295,0.12295081967213113,0.11475409836065574,-0.0015578591006308823,0.19016393442622953
2022-06-01,2022-05-31,1,1129319.5601,4,0.20999999999999996,0.4,0.21000000000000002,0.18000000000000002,3.516195706637862e-05,0.24211267605633807
2022-07-01,2022-06-30,1,1142381.321,4,0.17213114754098358,0.5901639344262295,0.12295081967213113,0.11475409836065574,0.006291555583737452,0.3832673827020916
2022-08-01,2022-07-29,1,2360669.8622800005,4,0.543103448275862,0.20689655172413796,0.12931034482758622,0.12068965517241383,0.004981370585241656,0.3331034482758621
2022-09-01,2022-08-31,1,2165070.4302000003,4,0.20588235294117646,0.3921568627450981,0.2647058823529412,0.13725490196078433,0.0026746785423822496,0.2519607843137254
2022-10-10,2022-09-30,1,1598265.2929999998,4,0.4499999999999999,0.4,0.10714285714285714,0.04285714285714286,-0.004896659122185081,0.19310344827586212
2022-11-01,2022-10-31,1,1312509.55614,4,0.5338983050847457,0.2033898305084746,0.17796610169491528,0.08474576271186442,0.018212861829317445,0.37725533078184803
2022-12-01,2022-11-30,1,2546516.5533999996,2,0.16935483870967738,0.5806451612903226,0.1693548387096774,0.08064516129032258,0.010071736619622622,0.4137931034482758
2023-01-03,2022-12-30,1,2491290.31404,4,0.5338983050847457,0.2033898305084746,0.17796610169491528,0.08474576271186442,0.005029395777435661,0.41678243956654626
2023-02-01,2023-01-31,1,2807019.10378,4,0.17213114754098358,0.5901639344262295,0.12295081967213113,0.11475409836065574,-0.006272503998196713,0.19016393442622953
2023-03-01,2023-02-28,1,1260625.27414,4,0.20999999999999996,0.4,0.21000000000000002,0.18000000000000002,-0.0015298834932774463,0.0
