rank,standard,description,trigger_kind,threshold,max_days,min_days,confirmation_days,max_rebalances_per_month,annualized_return,volatility,sharpe,max_drawdown,sortino,calmar,worst_calendar_return,best_calendar_return,final_nav,total_deposits,trades,traded_notional,estimated_transaction_cost,meets_5pct_return_floor,trigger_signals,rebalance_dates,deposit_trade_count,rebalance_trade_count,average_cash_weight
21,portfolio_drift_15,组合单边偏离达到15%,portfolio_drift,0.15,,0,1,,0.056306070021123755,0.04529053012273009,1.232257801036845,-0.05638956273113627,1.3560269203242798,0.9985193587967581,0.004134441415503565,0.15283133778111657,5092833.2612331435,3280000.0,1469,553253382.87378,276626.69143689,True,343,343,198,1271,0.02918972049265908
22,target_change_15,目标组合相对上次再平衡单边变化达到15%,target_change,0.15,,0,1,,0.05564834079042513,0.04513951924370952,1.2224287698796323,-0.05640171327225374,1.3404040714579162,0.9866427376382693,0.004127183491414721,0.15279249987107835,5066152.671444793,3280000.0,1453,550837689.19048,275418.84459524,True,410,343,190,1263,0.02913238407242435
23,portfolio_drift_20_confirm03d,组合偏离20%连续满足3日,portfolio_drift,0.2,,0,3,,0.0576488338472021,0.04716045983990432,1.2121290165526521,-0.056560902201532204,1.372508355870899,1.0192346939904438,0.006381085904719752,0.1936664430158488,5183623.726923203,3280000.0,535,181639753.55361,90819.876776805,True,98,98,191,344,0.029365087036036613
24,target_change_20_confirm03d,目标变化20%连续满足3日,target_change,0.2,,0,3,,0.05501782403070643,0.04508255112889312,1.2106534544879195,-0.056642688419715315,1.330906675982854,0.9713137841027453,0.005391647731571858,0.17234905360716835,5019529.861319637,3280000.0,467,149943183.32073998,74971.59166036999,True,99,77,187,280,0.028316191509587647
25,portfolio_drift_15_confirm03d,组合偏离15%连续满足3日,portfolio_drift,0.15,,0,3,,0.05701222823160501,0.04731721292478336,1.1955487141030936,-0.05636505974077133,1.3363940540584138,1.0114817316580533,0.006655576314385403,0.1914640228937572,5156522.101284787,3280000.0,722,247893038.53045,123946.519265225,True,147,147,193,529,0.029842360581100204
26,target_change_15_confirm03d,目标变化15%连续满足3日,target_change,0.15,,0,3,,0.05698383070125712,0.04731447563634228,1.195047300446143,-0.05659229473690475,1.3358296614923753,1.0069185384012542,0.0064537446258228215,0.19155688051568465,5152508.795622087,3280000.0,731,248128528.89585,124064.264447925,True,170,148,196,535,0.029464262901948632
27,portfolio_drift_15_confirm05d,组合偏离15%连续满足5日,portfolio_drift,0.15,,0,5,,0.05490025858795433,0.045917188921551666,1.1870671476340233,-0.05645759429757036,1.2626323093481462,0.9724158329983422,0.011003154587912567,0.13171569692489293,4962700.336147891,3280000.0,588,193605917.16424,96802.95858212,True,108,108,197,391,0.03004541117762564
28,target_change_15_confirm05d,目标变化15%连续满足5日,target_change,0.15,,0,5,,0.05521551344502629,0.046234126660212684,1.1857093215092624,-0.056330883078940075,1.2636692860531278,0.9801996778152625,0.011074270270121866,0.13171686893685774,4972349.9748769095,3280000.0,591,191362116.34620002,95681.05817310001,True,120,107,205,386,0.02952665828404216
29,max_asset_drift_30,任一ETF绝对偏离达到30个百分点,max_asset_drift,0.3,,0,1,,0.055556064473762934,0.04687507593006535,1.177027646451492,-0.061892950246073,1.246977744799636,0.8976153867748108,0.006655579335392181,0.15231973724507508,5048896.561253116,3280000.0,549,231973697.6738,115986.8488369,True,99,99,181,368,0.028361578394772866
30,portfolio_drift_30,组合单边偏离达到30%,portfolio_drift,0.3,,0,1,,0.055007145677385294,0.046822522925718,1.167184786865706,-0.061892950246073,1.2348139927945243,0.8887465447791513,0.00665371696354744,0.15229440264312788,5020020.365374967,3280000.0,550,231080584.59008998,115540.29229504499,True,99,99,182,368,0.028334839865212326
31,portfolio_drift_10_or_20d,组合偏离10%或距上次成交20个交易日,portfolio_drift,0.1,20.0,0,1,,0.054230440873980656,0.04671037966714394,1.1540885507560092,-0.057789332648850555,1.2393439874398464,0.9384161122521514,0.003545859762692505,0.1525455769892896,5018996.1906046225,3280000.0,1719,581719229.2708199,290859.61463540996,True,807,460,159,1560,0.029727599262674913
32,portfolio_drift_10,组合单边偏离达到10%,portfolio_drift,0.1,,0,1,,0.05419885394171797,0.046731168205007584,1.1529545494586955,-0.05779011314231153,1.2386803890648554,0.937856858114296,0.00354874715108755,0.15263104009085438,5017696.967644714,3280000.0,1706,581198764.2706399,290599.38213531993,True,419,414,198,1508,0.02963837730214216
33,target_change_10,目标组合相对上次再平衡单边变化达到10%,target_change,0.1,,0,1,,0.05419885394171797,0.046731168205007584,1.1529545494586955,-0.05779011314231153,1.2386803890648554,0.937856858114296,0.00354874715108755,0.15263104009085438,5017696.967644714,3280000.0,1706,581198764.2706399,290599.38213531993,True,480,413,199,1507,0.02963837730214216
34,portfolio_drift_01,组合单边偏离达到1%,portfolio_drift,0.01,,0,1,,0.05425554492306661,0.04680195504455549,1.152430835947837,-0.057789784965326496,1.2388250863075863,0.9388431702180514,0.003851642016241996,0.15692178970389015,5022168.42139162,3280000.0,2271,625766844.63683,312883.422318415,True,1186,650,147,2124,0.029559120654554915
35,max_asset_drift_10,任一ETF绝对偏离达到10个百分点,max_asset_drift,0.1,,0,1,,0.05414454906878752,0.04671975597052043,1.1521219377018057,-0.05779011314231153,1.237477508611845,0.9369171667038166,0.003539685089636757,0.15260722331855803,5015308.438353159,3280000.0,1697,579527335.63375,289763.667816875,True,416,411,202,1495,0.029591048447871957
36,portfolio_drift_05_or_20d,组合偏离5%或距上次成交20个交易日,portfolio_drift,0.05,20.0,0,1,,0.05416888751690907,0.04675282916878117,1.1518329841822637,-0.057789332648850555,1.239404851941706,0.9373509787015425,0.003825586881149423,0.1570922428803201,5018426.049213586,3280000.0,1994,608782226.1729,304391.11308645,True,937,531,158,1836,0.029746580326790034
37,max_asset_drift_01,任一ETF绝对偏离达到1个百分点,max_asset_drift,0.01,,0,1,,0.054267186837538395,0.046866791585046745,1.1511353311128656,-0.05779129240124059,1.2388194079677983,0.9390201288589535,0.0037708483036829055,0.15672989767961276,5022137.265181189,3280000.0,2224,625257441.97769,312628.720988845,True,1132,610,158,2066,0.029508975633377205
38,portfolio_drift_05,组合单边偏离达到5%,portfolio_drift,0.05,,0,1,,0.05414564110205444,0.04677254772954966,1.1508954499368442,-0.05779011314231153,1.2389546998120649,0.9369360632452413,0.003826741961300284,0.15711370615679798,5017482.102278414,3280000.0,1984,608384614.00324,304192.30700162,True,575,490,194,1790,0.029706702081350206
39,portfolio_drift_02,组合单边偏离达到2%,portfolio_drift,0.02,,0,1,,0.05424227548208327,0.04686437062283965,1.1506879310540836,-0.05779011314231153,1.239607920824467,0.9386082243602552,0.0037722256893029105,0.15647878192079356,5019158.261041031,3280000.0,2125,623281014.4980099,311640.50724900496,True,779,543,178,1947,0.029635382806666295
40,max_asset_drift_02,任一ETF绝对偏离达到2个百分点,max_asset_drift,0.02,,0,1,,0.05424227548208327,0.04686437062283965,1.1506879310540836,-0.05779011314231153,1.239607920824467,0.9386082243602552,0.0037722256893029105,0.15647878192079356,5019158.261041031,3280000.0,2125,623281014.4980099,311640.50724900496,True,779,543,178,1947,0.029635382806666295
41,max_asset_drift_05,任一ETF绝对偏离达到5个百分点,max_asset_drift,0.05,,0,1,,0.05414767116905406,0.04678649586639984,1.150607106176233,-0.05779011314231153,1.2380390597280158,0.9369711915204639,0.003915600689547327,0.1563029578715287,5016735.403491135,3280000.0,1923,604211327.8578,302105.66392890003,True,560,475,189,1734,0.02969374091536919
42,portfolio_drift_03,组合单边偏离达到3%,portfolio_drift,0.03,,0,1,,0.05422494900250219,0.04685745786149909,1.1504999691447126,-0.05779011314231153,1.239174371828247,0.938308406992907,0.0037727492647900984,0.15648677063612282,5018514.394792549,3280000.0,2123,623219824.03497,311609.912017485,True,698,537,182,1941,0.029635191833217635
43,max_asset_drift_03,任一ETF绝对偏离达到3个百分点,max_asset_drift,0.03,,0,1,,0.05421335435127039,0.046876783406848976,1.1498102107539803,-0.05779011314231153,1.2390215730317073,0.9381077731716296,0.0037758290374176884,0.15655589143657855,5018119.627072601,3280000.0,2119,623007440.0748699,311503.72003743495,True,697,536,181,1938,0.029609940958128574
44,portfolio_drift_075_or_20d,组合偏离7.5%或距上次成交20个交易日,portfolio_drift,0.075,20.0,0,1,,0.05401405981440255,0.046710645030808594,1.1496869434359442,-0.057789332648850555,1.234678642106375,0.9346718042689995,0.003902181592325027,0.15281156867308532,5008358.379821484,3280000.0,1848,596062437.5971,298031.21879855,True,860,494,155,1693,0.029714908189474094
45,portfolio_drift_075,组合单边偏离达到7.5%,portfolio_drift,0.075,,0,1,,0.05398991312228474,0.046731254108845884,1.148710098901984,-0.05779011314231153,1.2341854407990573,0.9342413466007832,0.003911843406511295,0.15290475672854176,5007435.64043,3280000.0,1834,595400713.84007,297700.35692003503,True,491,449,193,1641,0.02966381118809761
46,target_change_075,目标组合相对上次再平衡单边变化达到7.5%,target_change,0.075,,0,1,,0.05398991312228474,0.046731254108845884,1.148710098901984,-0.05779011314231153,1.2341854407990573,0.9342413466007832,0.003911843406511295,0.15290475672854176,5007435.64043,3280000.0,1834,595400713.84007,297700.35692003503,True,513,446,196,1638,0.02966381118809761
47,max_asset_drift_075,任一ETF绝对偏离达到7.5个百分点,max_asset_drift,0.075,,0,1,,0.05395024909724255,0.04673046912261587,1.1479231153813154,-0.05779011314231153,1.2333729633101533,0.9335550003923148,0.003925130094666107,0.15287096421345936,5005743.165070305,3280000.0,1825,595180016.81946,297590.00840973004,True,489,447,191,1634,0.029653145641940375
48,target_change_025,目标组合相对上次再平衡单边变化达到2.5%,target_change,0.025,,0,1,,0.05396766171426748,0.046766933057589326,1.1474168904703381,-0.05779011314231153,1.235124876818834,0.9338563082818157,0.0037627113094935716,0.15654485408306362,5008160.676418365,3280000.0,2114,621852453.64334,310926.22682167,True,592,525,192,1922,0.029745874458685553
49,target_change_05,目标组合相对上次再平衡单边变化达到5%,target_change,0.05,,0,1,,0.053893836725637856,0.04670778166787034,1.1473117551529743,-0.05779011314231153,1.2327323844599216,0.9325788408290729,0.003929192010228677,0.1523004365476197,5002416.474241747,3280000.0,1909,601963541.83658,300981.77091829,True,534,467,195,1714,0.029692221529204237
50,target_change_40,目标组合相对上次再平衡单边变化达到40%,target_change,0.4,,0,1,,0.05618594971056168,0.055464442644319184,1.0134352869389658,-0.0636146522590968,1.079739190203098,0.8832234039686537,0.005342284720211143,0.14459380619096107,5013216.1830670405,3280000.0,188,12744070.345919998,6372.03517296,True,73,6,171,17,0.027327198317998437
51,portfolio_drift_40,组合单边偏离达到40%,portfolio_drift,0.4,,0,1,,0.05598898006028019,0.055437448638187864,1.0105363406084635,-0.06353180447136819,1.0785618259321907,0.8812748280353454,0.005358334062560033,0.14450409335506098,5008225.732991511,3280000.0,194,15574768.25698,7787.38412849,True,8,8,173,21,0.027374299777639225
52,target_change_30,目标组合相对上次再平衡单边变化达到30%,target_change,0.3,,0,1,,0.05230423226278025,0.05357723185303559,0.9784926092141131,-0.06334785973671986,1.0163760548252307,0.8256669204004989,0.005459036786050531,0.14434532376090647,4870106.061256858,3280000.0,299,58308552.22629,29154.276113145002,True,105,38,175,124,0.027930294610184613
53,deposit_only_no_rebalance,仅按月末目标投入新增资金，不主动再平衡,target_change,2.0,,0,1,,0.041091785039941486,0.031362177239207645,1.2998191346016748,-0.04464530802840694,1.3378496859845008,0.9204054547858778,0.005807216146263672,0.1002598760858846,4390825.223837361,3280000.0,185,3269682.54528,1634.8412726400002,False,0,0,185,0,0.028607615079333064
