date,trigger_value,threshold,time_trigger,days_since_rebalance_trade,confirmation_days,execution_month_rebalance_count_before
2023-07-13,0.19890054972513746,0.15,False,8,1,1
2023-07-21,0.25231884057971016,0.15,False,5,1,2
2023-08-11,0.15510204081632656,0.15,False,14,1,0
2023-08-21,0.18596059113300484,0.15,False,5,1,1
2023-09-04,0.333103448275862,0.15,False,9,1,0
2023-09-12,0.24211267605633807,0.15,False,5,1,1
2023-09-20,0.17571558382553387,0.15,False,5,1,2
2023-10-10,0.2806451612903226,0.15,False,7,1,0
2023-10-18,0.2778688524590164,0.15,False,5,1,1
2023-10-26,0.2843905915894511,0.15,False,5,1,2
2023-11-03,0.19890054972513746,0.15,False,5,1,0
2023-11-20,0.333103448275862,0.15,False,10,1,1
2023-11-29,0.25231884057971016,0.15,False,6,1,2
2023-12-11,0.2024072709408008,0.15,False,7,1,0
2024-01-03,0.3238983050847457,0.15,False,15,1,0
2024-01-22,0.333103448275862,0.15,False,12,1,1
2024-01-30,0.333103448275862,0.15,False,5,1,2
2024-03-18,0.25226415094339627,0.15,False,27,1,0
2024-03-26,0.17938200710965274,0.15,False,5,1,1
2024-04-03,0.2843905915894511,0.15,False,5,1,0
2024-04-15,0.19016393442622948,0.15,False,5,1,1
2024-04-29,0.19016393442622948,0.15,False,9,1,2
2024-05-13,0.19016393442622948,0.15,False,6,1,0
2024-05-21,0.19016393442622948,0.15,False,5,1,1
2024-05-29,0.19016393442622948,0.15,False,5,1,2
2024-06-11,0.333103448275862,0.15,False,7,1,0
2024-07-02,0.333103448275862,0.15,False,14,1,0
2024-07-10,0.333103448275862,0.15,False,5,1,1
2024-08-19,0.333103448275862,0.15,False,27,1,0
2024-08-27,0.18064516129032254,0.15,False,5,1,1
2024-09-04,0.2806451612903226,0.15,False,5,1,0
2024-09-12,0.19310344827586212,0.15,False,5,1,1
2024-09-26,0.333103448275862,0.15,False,7,1,2
2024-10-11,0.18064516129032254,0.15,False,5,1,0
2024-10-31,0.1806451612903226,0.15,False,13,1,0
2024-11-08,0.25428571428571434,0.15,False,5,1,1
2024-11-18,0.15510204081632656,0.15,False,5,1,2
2024-11-26,0.18596059113300484,0.15,False,5,1,3
2024-12-04,0.18596059113300484,0.15,False,5,1,0
2024-12-12,0.15510204081632656,0.15,False,5,1,1
2025-01-02,0.333103448275862,0.15,False,13,1,0
2025-02-10,0.19310344827586212,0.15,False,20,1,0
