arm,period,asset,name,holding_days,additive_log_excess_vs_B0
D3_best_core_top2,OOS,159870.SZ,化工ETF,5,0.01513989437948245
D3_best_core_top2,OOS,159915.SZ,创业板ETF,52,-0.018508289559054952
D3_best_core_top2,OOS,510300.SH,沪深300ETF,16,0.006232296394256636
D3_best_core_top2,OOS,512400.SH,有色金属ETF,27,0.06213402456878822
D3_best_core_top2,OOS,512660.SH,军工ETF,5,-0.04768030726967008
D3_best_core_top2,OOS,512690.SH,酒ETF,5,0.003506707187638538
D3_best_core_top2,OOS,512880.SH,证券ETF,16,-0.10916157295191055
D3_best_core_top2,OOS,513050.SH,中概互联网ETF,39,0.04119491637851202
D3_best_core_top2,OOS,513100.SH,纳指ETF,238,-0.028426139217979842
D3_best_core_top2,OOS,513120.SH,港股创新药ETF,44,0.02031708058372559
D3_best_core_top2,OOS,513180.SH,恒生科技ETF,29,0.001098285233629438
D3_best_core_top2,OOS,513500.SH,标普500ETF,18,0.023332232933840152
D3_best_core_top2,OOS,515220.SH,煤炭ETF,8,0.04159167543773342
D3_best_core_top2,OOS,515790.SH,光伏ETF,10,-0.04280743450399899
D3_best_core_top2,OOS,515880.SH,通信ETF,32,0.10383964045034318
D3_best_core_top2,OOS,518880.SH,黄金ETF,224,0.044470931745163464
D3_best_core_top2,OOS,588000.SH,科创50ETF,19,0.033427601765180164
D3_best_core_top2,OOS,588200.SH,科创芯片ETF,52,-0.18132042153499117
