selector,factor,satellite_weight,satellite_topn,activation,corr_cap,rebalance_days,sharpe_D,delta_D,sharpe_V,delta_V,min_DV_delta,sharpe_DV,sharpe_T_not_used_for_selection,delta_T_not_used_for_selection,full_sharpe,full_annual_return,full_max_drawdown,satellite_days,config_id
MEDIAN_TOP3,ER_FLOOR20,0.25,2,selector_only,0.85,10,1.3666760192660192,-0.07044906507529514,0.8639759950750291,-0.13003557147758626,-0.13003557147758626,1.14446115897893,1.2318866807577458,-0.03294143095084956,1.1693126021301408,0.30572447033170946,-0.25294075607437894,1336,MEDIAN_TOP3|ER_FLOOR20|w0.25|n2|selector_only|corr0.85|rd10
ALIGN_TOP3,ER_FLOOR20,0.4,2,selector_only,,5,1.3051874631983005,-0.13193762114301388,1.0017488750486805,0.007737308496065132,-0.13193762114301388,1.1746723596313875,1.3179804523579686,0.05315234064937324,1.2166166718449334,0.30464222480964454,-0.31111792947425665,1511,ALIGN_TOP3|ER_FLOOR20|w0.40|n2|selector_only|corrnone|rd5
ALIGN_TOP3,ER_FLOOR20,0.25,2,selector_only,,5,1.3008248602557022,-0.13630022408561215,1.0555934356545793,0.06158186910196395,-0.13630022408561215,1.19461718397062,1.2827770276325314,0.017948915923936104,1.2202164637302035,0.3083751038472524,-0.31411133026337745,1511,ALIGN_TOP3|ER_FLOOR20|w0.25|n2|selector_only|corrnone|rd5
ALIGN_TOP3,ER_FLOOR20,0.25,2,selector_only,0.85,5,1.291644972603302,-0.14548011173801245,0.9167954665534291,-0.07721609999918622,-0.14548011173801245,1.127874873905727,1.0370309966323417,-0.22779711507625366,1.101730201544603,0.27372630382285923,-0.31907909064091544,1351,ALIGN_TOP3|ER_FLOOR20|w0.25|n2|selector_only|corr0.85|rd5
ALIGN_TOP3,QM20,0.25,1,selector_only,0.85,5,1.3394623484302641,-0.09766273591105024,0.8468518714590914,-0.147159695093524,-0.147159695093524,1.1208426826198872,1.1143596409978263,-0.15046847071076908,1.1182883621463051,0.2685445049402817,-0.26764496871164467,1347,ALIGN_TOP3|QM20|w0.25|n1|selector_only|corr0.85|rd5
MEDIAN_TOP3,ER_FLOOR20,0.4,2,selector_only,0.85,10,1.3300511776459478,-0.10707390669536654,0.8438354833945858,-0.15017608315802955,-0.15017608315802955,1.114673971133857,1.1511052013051233,-0.11372291040347204,1.1237933783514051,0.28822165084713136,-0.2570380375838327,1336,MEDIAN_TOP3|ER_FLOOR20|w0.40|n2|selector_only|corr0.85|rd10
MEDIAN_TOP3,ER_FLOOR20,0.25,2,selector_only,,5,1.2781109954301564,-0.15901408891115798,0.8902315465907189,-0.10378001996189645,-0.15901408891115798,1.1078376176376652,1.2454556207054066,-0.01937249100318872,1.147449715934142,0.2876854432873115,-0.31411133026337745,1447,MEDIAN_TOP3|ER_FLOOR20|w0.25|n2|selector_only|corrnone|rd5
ALIGN_TOP3,ER_FLOOR20,0.4,2,selector_only,0.85,5,1.2904606825611642,-0.14666440178015017,0.8349955664763287,-0.1590160000762867,-0.1590160000762867,1.090858892361815,1.0565329960760304,-0.20829511563256498,1.0808398898858025,0.2674206596561126,-0.31907909064091566,1351,ALIGN_TOP3|ER_FLOOR20|w0.40|n2|selector_only|corr0.85|rd5
ALIGN_TOP3,ER_FLOOR20,0.4,2,beat_best,,10,1.386137516783889,-0.050987567557425395,0.8343859487070243,-0.15962561784559104,-0.15962561784559104,1.1397424444068749,0.8886354918235916,-0.37619261988500374,1.066162594362095,0.2700379936006325,-0.32510096522842635,953,ALIGN_TOP3|ER_FLOOR20|w0.40|n2|beat_best|corrnone|rd10
MEDIAN_TOP3,ER_FLOOR20,0.4,2,beat_best,,10,1.386137516783889,-0.050987567557425395,0.8343859487070243,-0.15962561784559104,-0.15962561784559104,1.1397424444068749,0.8886354918235916,-0.37619261988500374,1.066162594362095,0.2700379936006325,-0.32510096522842635,953,MEDIAN_TOP3|ER_FLOOR20|w0.40|n2|beat_best|corrnone|rd10
