date,arm,510300.SH,159915.SZ,513100.SH,518880.SH
2022-07-21,B_prime,0.0,0.0,1.0,0.0
2022-08-25,B_prime,0.0,0.0,0.0,1.0
2022-11-07,B_prime,0.0,1.0,0.0,0.0
2022-11-14,B_prime,0.0,0.0,0.0,1.0
2022-11-22,B_prime,0.0,0.0,1.0,0.0
2022-11-29,B_prime,0.0,0.0,0.0,1.0
2022-12-06,B_prime,1.0,0.0,0.0,0.0
2022-12-21,B_prime,0.0,0.0,0.0,1.0
2022-12-28,B_prime,1.0,0.0,0.0,0.0
2023-01-05,B_prime,0.0,0.0,0.0,1.0
2023-01-18,B_prime,1.0,0.0,0.0,0.0
2023-02-01,B_prime,0.0,1.0,0.0,0.0
2023-02-09,B_prime,0.0,0.0,1.0,0.0
2023-03-13,B_prime,0.0,0.0,0.0,1.0
2023-04-04,B_prime,0.0,0.0,1.0,0.0
2023-04-12,B_prime,0.0,0.0,0.0,1.0
2023-04-19,B_prime,0.0,0.0,1.0,0.0
2023-04-28,B_prime,0.0,0.0,0.0,1.0
2023-05-10,B_prime,0.0,0.0,1.0,0.0
2023-07-25,B_prime,0.0,0.0,0.0,1.0
2023-08-01,B_prime,1.0,0.0,0.0,0.0
2023-08-15,B_prime,0.0,0.0,0.0,1.0
2023-10-09,B_prime,1.0,0.0,0.0,0.0
2023-10-16,B_prime,0.0,0.0,1.0,0.0
2023-10-23,B_prime,0.0,0.0,0.0,1.0
2023-11-07,B_prime,0.0,0.0,1.0,0.0
2023-11-14,B_prime,0.0,0.0,0.0,1.0
2023-11-21,B_prime,0.0,0.0,1.0,0.0
2024-01-08,B_prime,0.0,0.0,0.0,1.0
2024-01-15,B_prime,0.0,0.0,1.0,0.0
2024-02-28,B_prime,1.0,0.0,0.0,0.0
2024-03-08,B_prime,0.0,0.0,0.0,1.0
2024-03-15,B_prime,0.0,1.0,0.0,0.0
2024-03-22,B_prime,0.0,0.0,0.0,1.0
2024-05-10,B_prime,1.0,0.0,0.0,0.0
2024-05-24,B_prime,0.0,0.0,1.0,0.0
2024-07-18,B_prime,0.0,0.0,0.0,1.0
2024-09-10,B_prime,0.0,0.0,1.0,0.0
2024-09-19,B_prime,0.0,0.0,0.0,1.0
2024-09-27,B_prime,0.0,1.0,0.0,0.0
2024-11-12,B_prime,0.0,0.0,1.0,0.0
2024-11-20,B_prime,0.0,1.0,0.0,0.0
2024-11-27,B_prime,0.0,0.0,1.0,0.0
2025-01-13,B_prime,0.0,0.0,0.0,1.0
2025-02-18,B_prime,0.0,1.0,0.0,0.0
2025-02-27,B_prime,0.0,0.0,0.0,1.0
2025-03-12,B_prime,0.0,1.0,0.0,0.0
2025-03-19,B_prime,1.0,0.0,0.0,0.0
2025-03-26,B_prime,0.0,0.0,0.0,1.0
2025-05-13,B_prime,0.0,0.0,1.0,0.0
2025-06-20,B_prime,0.0,0.0,0.0,1.0
2025-06-27,B_prime,0.0,0.0,1.0,0.0
2025-07-04,B_prime,0.0,1.0,0.0,0.0
2025-09-29,B_prime,0.0,0.0,0.0,1.0
2025-10-24,B_prime,0.0,0.0,1.0,0.0
2025-11-17,B_prime,0.0,0.0,0.0,1.0
2025-11-24,B_prime,0.0,0.0,1.0,0.0
2025-12-02,B_prime,0.0,0.0,0.0,1.0
2025-12-31,B_prime,0.0,1.0,0.0,0.0
2026-01-14,B_prime,0.0,0.0,0.0,1.0
2026-03-13,B_prime,0.0,1.0,0.0,0.0
2026-04-28,B_prime,0.0,0.0,1.0,0.0
2026-05-14,B_prime,0.0,1.0,0.0,0.0
2026-05-21,B_prime,0.0,0.0,1.0,0.0
2014-01-08,A3,0.0,1.0,0.0,0.0
2014-02-26,A3,0.0,0.0,0.0,1.0
2014-04-02,A3,1.0,0.0,0.0,0.0
2014-05-06,A3,0.0,0.0,0.0,1.0
2014-05-15,A3,0.0,0.0,1.0,0.0
2014-06-17,A3,0.0,1.0,0.0,0.0
2014-06-26,A3,0.0,0.0,1.0,0.0
2014-07-03,A3,0.0,1.0,0.0,0.0
2014-07-10,A3,0.0,0.0,0.0,1.0
2014-07-17,A3,0.0,0.0,1.0,0.0
2014-07-25,A3,1.0,0.0,0.0,0.0
2014-08-22,A3,0.0,1.0,0.0,0.0
2014-10-23,A3,1.0,0.0,0.0,0.0
2014-10-30,A3,0.0,0.0,0.0,1.0
2014-11-06,A3,0.0,0.0,1.0,0.0
2014-11-26,A3,1.0,0.0,0.0,0.0
2015-01-20,A3,0.0,0.0,0.0,1.0
2015-01-28,A3,0.0,1.0,0.0,0.0
2015-04-13,A3,1.0,0.0,0.0,0.0
2015-05-07,A3,0.0,1.0,0.0,0.0
