date,asset,target_weight
2023-04-28,512890.SH,0.20999999999999996
2023-04-28,511260.SH,0.4
2023-04-28,511360.SH,0.21000000000000002
2023-04-28,511880.SH,0.18000000000000002
2023-05-04,512890.SH,0.20999999999999996
2023-05-04,511260.SH,0.4
2023-05-04,511360.SH,0.21000000000000002
2023-05-04,511880.SH,0.18000000000000002
2023-05-05,512890.SH,0.20999999999999996
2023-05-05,511260.SH,0.4
2023-05-05,511360.SH,0.21000000000000002
2023-05-05,511880.SH,0.18000000000000002
2023-05-08,512890.SH,0.20999999999999996
2023-05-08,511260.SH,0.4
2023-05-08,511360.SH,0.21000000000000002
2023-05-08,511880.SH,0.18000000000000002
2023-05-09,512890.SH,0.20999999999999996
2023-05-09,511260.SH,0.4
2023-05-09,511360.SH,0.21000000000000002
2023-05-09,511880.SH,0.18000000000000002
2023-05-10,512890.SH,0.20999999999999996
2023-05-10,511260.SH,0.4
2023-05-10,511360.SH,0.21000000000000002
2023-05-10,511880.SH,0.18000000000000002
2023-05-11,512890.SH,0.20999999999999996
2023-05-11,511260.SH,0.4
2023-05-11,511360.SH,0.21000000000000002
2023-05-11,511880.SH,0.18000000000000002
2023-05-12,512890.SH,0.20999999999999996
2023-05-12,511260.SH,0.4
2023-05-12,511360.SH,0.21000000000000002
2023-05-12,511880.SH,0.18000000000000002
2023-05-15,512890.SH,0.20999999999999996
2023-05-15,511260.SH,0.4
2023-05-15,511360.SH,0.21000000000000002
2023-05-15,511880.SH,0.18000000000000002
2023-05-16,512890.SH,0.20999999999999996
2023-05-16,511260.SH,0.4
2023-05-16,511360.SH,0.21000000000000002
2023-05-16,511880.SH,0.18000000000000002
2023-05-17,512890.SH,0.20999999999999996
2023-05-17,511260.SH,0.4
2023-05-17,511360.SH,0.21000000000000002
2023-05-17,511880.SH,0.18000000000000002
2023-05-18,512890.SH,0.20999999999999996
2023-05-18,511260.SH,0.4
2023-05-18,511360.SH,0.21000000000000002
2023-05-18,511880.SH,0.18000000000000002
2023-05-19,512890.SH,0.35714285714285715
2023-05-19,511260.SH,0.24489795918367346
2023-05-19,511360.SH,0.21428571428571427
2023-05-19,511880.SH,0.1836734693877551
2023-05-22,512890.SH,0.35714285714285715
2023-05-22,511260.SH,0.24489795918367346
2023-05-22,511360.SH,0.21428571428571427
2023-05-22,511880.SH,0.1836734693877551
2023-05-23,512890.SH,0.543103448275862
2023-05-23,511260.SH,0.20689655172413796
2023-05-23,511360.SH,0.12931034482758622
2023-05-23,511880.SH,0.12068965517241383
2023-05-24,512890.SH,0.543103448275862
2023-05-24,511260.SH,0.20689655172413796
2023-05-24,511360.SH,0.12931034482758622
2023-05-24,511880.SH,0.12068965517241383
2023-05-25,512890.SH,0.543103448275862
2023-05-25,511260.SH,0.20689655172413796
2023-05-25,511360.SH,0.12931034482758622
2023-05-25,511880.SH,0.12068965517241383
2023-05-26,512890.SH,0.543103448275862
2023-05-26,511260.SH,0.20689655172413796
2023-05-26,511360.SH,0.12931034482758622
2023-05-26,511880.SH,0.12068965517241383
2023-05-29,512890.SH,0.543103448275862
2023-05-29,511260.SH,0.20689655172413796
2023-05-29,511360.SH,0.12931034482758622
2023-05-29,511880.SH,0.12068965517241383
2023-05-30,512890.SH,0.543103448275862
2023-05-30,511260.SH,0.20689655172413796
2023-05-30,511360.SH,0.12931034482758622
2023-05-30,511880.SH,0.12068965517241383
2023-05-31,512890.SH,0.543103448275862
2023-05-31,511260.SH,0.20689655172413796
2023-05-31,511360.SH,0.12931034482758622
2023-05-31,511880.SH,0.12068965517241383
2023-06-01,512890.SH,0.543103448275862
2023-06-01,511260.SH,0.20689655172413796
2023-06-01,511360.SH,0.12931034482758622
2023-06-01,511880.SH,0.12068965517241383
2023-06-02,512890.SH,0.543103448275862
2023-06-02,511260.SH,0.20689655172413796
2023-06-02,511360.SH,0.12931034482758622
2023-06-02,511880.SH,0.12068965517241383
2023-06-05,512890.SH,0.543103448275862
2023-06-05,511260.SH,0.20689655172413796
2023-06-05,511360.SH,0.12931034482758622
2023-06-05,511880.SH,0.12068965517241383
2023-06-06,512890.SH,0.543103448275862
2023-06-06,511260.SH,0.20689655172413796
2023-06-06,511360.SH,0.12931034482758622
2023-06-06,511880.SH,0.12068965517241383
2023-06-07,512890.SH,0.543103448275862
2023-06-07,511260.SH,0.20689655172413796
2023-06-07,511360.SH,0.12931034482758622
2023-06-07,511880.SH,0.12068965517241383
2023-06-08,512890.SH,0.543103448275862
2023-06-08,511260.SH,0.20689655172413796
2023-06-08,511360.SH,0.12931034482758622
2023-06-08,511880.SH,0.12068965517241383
2023-06-09,512890.SH,0.543103448275862
2023-06-09,511260.SH,0.20689655172413796
2023-06-09,511360.SH,0.12931034482758622
2023-06-09,511880.SH,0.12068965517241383
2023-06-12,512890.SH,0.543103448275862
2023-06-12,511260.SH,0.20689655172413796
2023-06-12,511360.SH,0.12931034482758622
2023-06-12,511880.SH,0.12068965517241383
2023-06-13,512890.SH,0.543103448275862
2023-06-13,511260.SH,0.20689655172413796
2023-06-13,511360.SH,0.12931034482758622
2023-06-13,511880.SH,0.12068965517241383
2023-06-14,512890.SH,0.543103448275862
2023-06-14,511260.SH,0.20689655172413796
2023-06-14,511360.SH,0.12931034482758622
2023-06-14,511880.SH,0.12068965517241383
2023-06-15,512890.SH,0.543103448275862
2023-06-15,511260.SH,0.20689655172413796
2023-06-15,511360.SH,0.12931034482758622
2023-06-15,511880.SH,0.12068965517241383
2023-06-16,512890.SH,0.543103448275862
2023-06-16,511260.SH,0.20689655172413796
2023-06-16,511360.SH,0.12931034482758622
2023-06-16,511880.SH,0.12068965517241383
2023-06-19,512890.SH,0.543103448275862
2023-06-19,511260.SH,0.20689655172413796
2023-06-19,511360.SH,0.12931034482758622
2023-06-19,511880.SH,0.12068965517241383
2023-06-20,512890.SH,0.45652173913043476
2023-06-20,511260.SH,0.40579710144927544
2023-06-20,511360.SH,0.06521739130434782
2023-06-20,511880.SH,0.07246376811594205
2023-06-21,512890.SH,0.543103448275862
2023-06-21,511260.SH,0.20689655172413796
2023-06-21,511360.SH,0.12931034482758622
2023-06-21,511880.SH,0.12068965517241383
2023-06-26,512890.SH,0.543103448275862
2023-06-26,511260.SH,0.20689655172413796
2023-06-26,511360.SH,0.12931034482758622
2023-06-26,511880.SH,0.12068965517241383
2023-06-27,512890.SH,0.543103448275862
2023-06-27,511260.SH,0.20689655172413796
2023-06-27,511360.SH,0.12931034482758622
2023-06-27,511880.SH,0.12068965517241383
2023-06-28,512890.SH,0.5338983050847457
2023-06-28,511260.SH,0.2033898305084746
2023-06-28,511360.SH,0.17796610169491528
2023-06-28,511880.SH,0.08474576271186442
2023-06-29,512890.SH,0.5338983050847457
2023-06-29,511260.SH,0.2033898305084746
2023-06-29,511360.SH,0.17796610169491528
2023-06-29,511880.SH,0.08474576271186442
2023-06-30,512890.SH,0.543103448275862
2023-06-30,511260.SH,0.20689655172413796
2023-06-30,511360.SH,0.12931034482758622
2023-06-30,511880.SH,0.12068965517241383
2023-07-03,512890.SH,0.543103448275862
2023-07-03,511260.SH,0.20689655172413796
2023-07-03,511360.SH,0.12931034482758622
2023-07-03,511880.SH,0.12068965517241383
2023-07-04,512890.SH,0.543103448275862
2023-07-04,511260.SH,0.20689655172413796
2023-07-04,511360.SH,0.12931034482758622
2023-07-04,511880.SH,0.12068965517241383
2023-07-05,512890.SH,0.543103448275862
2023-07-05,511260.SH,0.20689655172413796
2023-07-05,511360.SH,0.12931034482758622
2023-07-05,511880.SH,0.12068965517241383
2023-07-06,512890.SH,0.543103448275862
2023-07-06,511260.SH,0.20689655172413796
2023-07-06,511360.SH,0.12931034482758622
2023-07-06,511880.SH,0.12068965517241383
2023-07-07,512890.SH,0.543103448275862
2023-07-07,511260.SH,0.20689655172413796
2023-07-07,511360.SH,0.12931034482758622
2023-07-07,511880.SH,0.12068965517241383
2023-07-10,512890.SH,0.543103448275862
2023-07-10,511260.SH,0.20689655172413796
2023-07-10,511360.SH,0.12931034482758622
2023-07-10,511880.SH,0.12068965517241383
2023-07-11,512890.SH,0.543103448275862
2023-07-11,511260.SH,0.20689655172413796
2023-07-11,511360.SH,0.12931034482758622
2023-07-11,511880.SH,0.12068965517241383
2023-07-12,512890.SH,0.543103448275862
2023-07-12,511260.SH,0.20689655172413796
2023-07-12,511360.SH,0.12931034482758622
2023-07-12,511880.SH,0.12068965517241383
2023-07-13,512890.SH,0.45652173913043476
2023-07-13,511260.SH,0.40579710144927544
2023-07-13,511360.SH,0.06521739130434782
2023-07-13,511880.SH,0.07246376811594205
2023-07-14,512890.SH,0.17213114754098358
2023-07-14,511260.SH,0.5901639344262295
2023-07-14,511360.SH,0.12295081967213113
2023-07-14,511880.SH,0.11475409836065574
2023-07-17,512890.SH,0.4999999999999999
2023-07-17,511260.SH,0.3174603174603175
2023-07-17,511360.SH,0.07142857142857142
2023-07-17,511880.SH,0.11111111111111112
2023-07-18,512890.SH,0.543103448275862
2023-07-18,511260.SH,0.20689655172413796
2023-07-18,511360.SH,0.12931034482758622
2023-07-18,511880.SH,0.12068965517241383
2023-07-19,512890.SH,0.20999999999999996
2023-07-19,511260.SH,0.4
2023-07-19,511360.SH,0.21000000000000002
2023-07-19,511880.SH,0.18000000000000002
2023-07-20,512890.SH,0.20999999999999996
2023-07-20,511260.SH,0.4
2023-07-20,511360.SH,0.21000000000000002
2023-07-20,511880.SH,0.18000000000000002
2023-07-21,512890.SH,0.20999999999999996
2023-07-21,511260.SH,0.4
2023-07-21,511360.SH,0.21000000000000002
2023-07-21,511880.SH,0.18000000000000002
2023-07-24,512890.SH,0.20999999999999996
2023-07-24,511260.SH,0.4
2023-07-24,511360.SH,0.21000000000000002
2023-07-24,511880.SH,0.18000000000000002
2023-07-25,512890.SH,0.20999999999999996
2023-07-25,511260.SH,0.4
2023-07-25,511360.SH,0.21000000000000002
2023-07-25,511880.SH,0.18000000000000002
2023-07-26,512890.SH,0.20999999999999996
2023-07-26,511260.SH,0.4
2023-07-26,511360.SH,0.21000000000000002
2023-07-26,511880.SH,0.18000000000000002
2023-07-27,512890.SH,0.20999999999999996
2023-07-27,511260.SH,0.4
2023-07-27,511360.SH,0.21000000000000002
2023-07-27,511880.SH,0.18000000000000002
2023-07-28,512890.SH,0.20999999999999996
2023-07-28,511260.SH,0.4
2023-07-28,511360.SH,0.21000000000000002
2023-07-28,511880.SH,0.18000000000000002
2023-07-31,512890.SH,0.20999999999999996
2023-07-31,511260.SH,0.4
2023-07-31,511360.SH,0.21000000000000002
2023-07-31,511880.SH,0.18000000000000002
2023-08-01,512890.SH,0.20999999999999996
2023-08-01,511260.SH,0.4
2023-08-01,511360.SH,0.21000000000000002
2023-08-01,511880.SH,0.18000000000000002
2023-08-02,512890.SH,0.20999999999999996
2023-08-02,511260.SH,0.4
2023-08-02,511360.SH,0.21000000000000002
2023-08-02,511880.SH,0.18000000000000002
2023-08-03,512890.SH,0.20999999999999996
2023-08-03,511260.SH,0.4
2023-08-03,511360.SH,0.21000000000000002
2023-08-03,511880.SH,0.18000000000000002
