date,strategy_nav,strategy_return,strategy_cash_weight,calendar_nav,calendar_return,calendar_cash_weight,static_nav,static_return,static_cash_weight,deposit
2019-08-13,1788757.4039414662,-0.0021616146811106463,0.011764614192565402,1825479.0513501754,-0.0017010067319879196,0.010079062663889256,1830088.7888262654,-0.001107359831863497,0.015375548660844991,0.0
2019-08-14,1790686.7637014661,0.0010786033677616658,0.011751938512108514,1827366.7798301757,0.0010341003248457437,0.010068650668961725,1831633.9821062651,0.0008443269471045678,0.015362577622581261,0.0
2019-08-15,1792253.4836214662,0.000874926844693702,0.011741665413836538,1828624.1559901754,0.000688080889878373,0.01006172738662782,1832463.179866265,0.0004527093120680892,0.015355625987703993,0.0
2019-08-16,1792714.7824214662,0.00025738479752757115,0.01173864406531054,1828614.8983901755,-5.062604018224448e-06,0.0100617783254272,1832166.346266265,-0.00016198611970019705,0.01535811378896258,0.0
2019-08-19,1805907.1828214664,0.00735889530747369,0.011652891655587734,1839898.6175901757,0.006170637245673571,0.010000071511697718,1840177.5574662653,0.004372534849974796,0.015291252255575323,0.0
2019-08-20,1806511.3218614662,0.0003345349338805814,0.011648994659929399,1840155.8315101757,0.00013979787665530097,0.009998673718342526,1840180.3305862653,1.5069850127780171e-06,0.015291229211922072,0.0
2019-08-21,1805530.5405814664,-0.0005429145492369392,0.01165532250409292,1839099.5500701757,-0.0005740173858717057,0.010004416427307301,1839294.2947462653,-0.0004814940282062974,0.015298595394244345,0.0
2019-08-22,1805448.7796214663,-4.5283620610403474e-05,0.011655850323196845,1838897.6639901756,-0.00010977441650306119,0.010005514776853743,1839075.0678662653,-0.00011919075736066542,0.015300419062780374,0.0
2019-08-23,1807666.1589014663,0.0012281596160623742,0.011641552638378126,1840513.5494301755,0.0008787250490567278,0.009996730399443087,1840018.647706265,0.0005130730422520102,0.015292572855901338,0.0
2019-08-26,1800799.3381814663,-0.0037987217308825816,0.011685944288894232,1835114.2348701756,-0.002933591312963446,0.010026143005466451,1836591.427546265,-0.0018626007754173335,0.01532110996720651,0.0
2019-08-27,1813183.3581014662,0.006876957169756448,0.01160612943387085,1845693.9110301754,0.005765132196660305,0.009968672291878587,1844107.8253062651,0.00409258022620862,0.015258662666100839,0.0
2019-08-28,1811672.0373814662,-0.0008335178641736274,0.011615811420196458,1844486.2964701755,-0.0006542875569903739,0.00997519894042381,1843343.005146265,-0.0004147372238785252,0.015264993627180298,0.0
2019-08-29,1804385.7760214664,-0.0040218434736848385,0.01166271704261975,1838308.3911901757,-0.003349390717525269,0.01000872206118985,1839039.767066265,-0.0023344749555488375,0.0153007127579157,0.0
2019-08-30,1801646.7146614662,-0.0015180020793776894,0.011680447986952006,1835647.0859101757,-0.001447692505106235,0.010023232619930659,1836932.128986265,-0.0011460535643349479,0.015318268313916302,0.0
2019-09-02,1829220.0024014665,0.00420353650822336,0.005316467690435759,1862103.2582301756,0.0035171097808261997,3.133926645453133e-05,1861442.6938887853,0.002455488056060995,0.005582917251712084,20000.0
2019-09-03,1827383.7835319065,-0.001003826148385234,0.00450165729062498,1860485.8856571757,-0.0008685729783519669,0.006167400239708098,1860316.2532487854,-0.000605143872383529,0.005586297765574231,0.0
2019-09-04,1829736.6755319065,0.001287574083344678,0.004495868526827712,1862880.9554971757,0.0012873356677758352,0.006159470933081314,1864472.6333287852,0.002234233062653246,0.00557384449791091,0.0
2019-09-05,1834276.891531906,0.0024813493989126467,0.004484740319132552,1867500.2158171756,0.002479632585415059,0.006144235486556386,1872042.0731687853,0.004059828878520966,0.005551307140866879,0.0
2019-09-06,1836980.567531906,0.0014739737563513877,0.004478139658798207,1870243.2793371757,0.0014688424112443421,0.006135223809622337,1875004.1114087852,0.001582249823576909,0.005542537461945548,0.0
2019-09-09,1837635.2675319063,0.00035640006844483985,0.0044765442181324685,1870916.4793371756,0.0003599531715674509,0.006133016210985919,1877363.1114087852,0.0012581305745658078,0.0055355729883212,0.0
2019-09-10,1835948.3475319063,-0.0009179841232942465,0.004480657390478849,1869203.0809371755,-0.0009158069956212156,0.006138638018626964,1874974.210608785,-0.0012724766911008656,0.005542625850523484,0.0
2019-09-11,1836115.3755319063,9.097641566246928e-05,0.004480249793411372,1869372.9634971756,9.088502032361667e-05,0.006138080159086956,1875107.729328785,7.121096345996669e-05,0.005542231182901231,0.0
2019-09-12,1837571.9155319063,0.0007932725902795035,0.004476698551155797,1870861.3682971755,0.0007962053742422981,0.006133196874773975,1878445.4269287852,0.0017800031154449059,0.0055323835229944655,0.0
2019-09-16,1837466.8795319065,-5.7160211860085575e-05,0.004476954454820922,1870760.3095771756,-5.401721459019626e-05,0.006133528190882457,1879236.086288785,0.0004209115413551512,0.005530055858659217,0.0
2019-09-17,1833239.371531906,-0.002300726095850636,0.004487278453458142,1866453.9334171754,-0.002301939023376831,0.00614767977485943,1871029.6643687852,-0.004366892472891126,0.0055543109372833376,0.0
2019-09-18,1833616.771531906,0.0002058650964300579,0.0044863548695802955,1866841.2334171755,0.00020750579109707346,0.006146404360360231,1872253.3643687852,0.0006540249058064607,0.0055506806538915135,0.0
2019-09-19,1833890.3995319065,0.00014922856523180705,0.004485685477172457,1867121.3619771758,0.00015005483861507685,0.006145482201020345,1873096.4850887852,0.0004503240512452322,0.005548182174017864,0.0
2019-09-20,1834409.7115319064,0.00028317504695607454,0.004484415602573627,1867649.6842171755,0.00028296084590895276,0.006143743762088377,1873839.6639687852,0.00039676486818285284,0.00554598172331047,0.0
2019-09-23,1830928.3275319063,-0.0018978224865005,0.004492942409709324,1864104.8445371757,-0.0018980217274984224,0.006155426896079163,1867498.603808785,-0.0033839929220890186,0.0055648130111529606,0.0
2019-09-24,1832400.8835319062,0.0008042674188044607,0.004489331786421303,1865605.1556571757,0.0008048426698727962,0.006150476729966827,1870276.9432487853,0.0014877330747844475,0.005556546353361491,0.0
2019-09-25,1828523.419531906,-0.002116056609035466,0.004498851611106054,1861658.0683771756,-0.002115714178871686,0.006163516970212422,1863276.1818887852,-0.0037431682966905244,0.005577423588515235,0.0
2019-09-26,1826545.851531906,-0.0010815108950074093,0.004503722435988665,1859654.9890171755,-0.0010759652344461967,0.0061701558433910255,1861526.2615687852,-0.0009391631455440974,0.005582666623261662,0.0
2019-09-27,1825242.567531906,-0.0007135238345683526,0.004506938243846578,1858332.6033371757,-0.0007110919432957719,0.006174546513670402,1859758.0994087853,-0.0009498454018638247,0.005587974334989485,0.0
2019-09-30,1824147.4075319064,-0.0006000079219501409,0.00450964406601136,1857218.3161371755,-0.0005996166660365843,0.006178251095994519,1857236.9930087854,-0.0013556098509808212,0.0055955597308824205,0.0
2019-10-08,1847005.2778281465,0.0015666882426497164,0.002912752038517388,1880408.8761371756,0.0017179240438658372,0.005309282052361093,1882110.049008785,0.002623820233143892,0.002705280985809853,20000.0
2019-10-09,1851057.6293481465,0.002194011878929203,0.002906375416329333,1883975.5403829755,0.0018967493139718794,0.005879895564208759,1888432.990848785,0.003359496350030078,0.00269622303436703,0.0
2019-10-10,1853248.9136681464,0.0011838012416562904,0.002902938913638915,1886205.6247029756,0.001183711928418596,0.0058729436907071384,1892714.3302887853,0.00226713865980277,0.0026901241499071066,0.0
2019-10-11,1854074.1755881463,0.0004453054923780897,0.0029016467943844344,1887041.4866229757,0.00044314464396300046,0.005870342279967541,1896053.8689287852,0.0017644176865774241,0.0026853860073404678,0.0
2019-10-14,1857679.8688681463,0.0019447405759029923,0.0028960147969004867,1890709.5799029756,0.0019438328759608936,0.005858953453625659,1904447.928688785,0.0044271209260220434,0.0026735498787255974,0.0
2019-10-15,1855709.3128681465,-0.0010607618853083478,0.0028990900411181818,1888701.8239029758,-0.0010619060808391145,0.005865181725765476,1900367.226688785,-0.0021427217507645757,0.0026792908535140467,0.0
2019-10-16,1855132.9949481464,-0.0003105647614115581,0.002899990676030579,1888113.9059829756,-0.0003112814911064854,0.00586700801676927,1899584.286048785,-0.0004119943919281832,0.002680395161288649,0.0
2019-10-17,1854188.1994281465,-0.0005092872169126794,0.002901468356774961,1887152.9104629757,-0.0005089711573834643,0.005869995675261944,1897355.8462087852,-0.0011731197485503886,0.0026835432789052227,0.0
2019-10-18,1849807.8031081464,-0.0023624335012761843,0.002908339114532204,1882689.3141429757,-0.002365254185419996,0.0058839126242230325,1889267.9027687851,-0.004262744627562154,0.0026950315099955667,0.0
2019-10-21,1849217.4165481464,-0.00031916102797702184,0.0029092676393826494,1882085.1275829757,-0.0003209167627719056,0.005885801476579215,1890410.183248785,0.0006046154059600184,0.002693403037024922,0.0
2019-10-22,1848761.9165481464,-0.0002463204142053588,0.002909984427952274,1881618.6275829757,-0.000247863390004599,0.005887260712977374,1891264.4832487851,0.0004519125042650174,0.002692186404324995,0.0
2019-10-23,1847260.9277481465,-0.0008118886410222181,0.00291234893096802,1880091.8387829757,-0.0008114230894712415,0.0058920416516176225,1887860.283648785,-0.0017999595668145574,0.002697040969019272,0.0
2019-10-24,1848209.1098281464,0.0005132908219716015,0.0029108548159069232,1881057.0208629756,0.0005133696450831948,0.005889018408327451,1889317.643008785,0.0007719635677612136,0.002694960557652211,0.0
2019-10-25,1849107.3941481465,0.00048602959222709963,0.00290944074160967,1881969.5051829757,0.00048509125979689927,0.005886163082062604,1891911.7824487851,0.0013730562722469308,0.002691265298953203,0.0
2019-10-28,1848245.3829481464,-0.00046617692554151713,0.0029107976883268874,1881087.2939829757,-0.0004687701886616491,0.0058889236339054836,1892879.782048785,0.0005116515521388365,0.002689889013064587,0.0
2019-10-29,1843625.2471081463,-0.0024997415833554193,0.002918092164654939,1876377.7581429759,-0.0025036242895607463,0.0059037042913677356,1886931.400768785,-0.0031425034682136532,0.0026983686458928245,0.0
2019-10-30,1841066.4179881464,-0.0013879334338763316,0.0029221479114399586,1873769.1290229757,-0.0013902473042431973,0.005911923326835761,1883594.7597287851,-0.0017682895301018853,0.0027031485952521183,0.0
2019-10-31,1840091.2933481464,-0.0005296520703830243,0.0029236964533196305,1872779.2043829756,-0.0005283066225539867,0.005915048286017991,1879408.578848785,-0.0022224424114467567,0.0027091695686011783,0.0
2019-11-01,1864121.7489281462,0.002190356312520958,0.0021007972737821746,1896882.6599629754,0.0021911048405471867,0.005068238076024854,1906555.399513905,0.003802696627839053,5.874636212179937e-05,20000.0
2019-11-04,1865154.3354881464,0.0005539265665421844,0.002099634230601823,1897931.8465229757,0.0005531109446805793,0.0050654363277523925,1909658.7149439051,0.0016277079757511803,0.005540710526496313,0.0
2019-11-05,1869246.7399681464,0.0021941371832530088,0.002095037431073997,1902099.4510029757,0.002195866246533118,0.005054337678246151,1916350.0307839052,0.0035039328167056905,0.005521364037851107,0.0
2019-11-06,1868098.9018881463,-0.0006140645081557095,0.0020963247096757788,1900931.8129229755,-0.0006138680495304527,0.005057442280474479,1912501.246143905,-0.002008393340555803,0.005532475424650764,0.0
2019-11-07,1869609.4839681464,0.000808619971069735,0.0020946309492581878,1902468.1950029756,0.0008082257709378649,0.005053358026287857,1915872.8827839051,0.0017629461140473701,0.0055227391331570674,0.0
2019-11-08,1865792.4234881464,-0.0020416351717998937,0.0020989161703342018,1898578.1345229757,-0.0020447440278988926,0.00506371202120221,1910181.9189439053,-0.00297042872266684,0.0055391929108799375,0.0
2019-11-11,1859431.9087829462,-0.003409015185788511,0.01347886882254853,1895520.2897229753,-0.0016105972908871946,0.0050718807786439965,1901583.160543905,-0.004501538997266907,0.00556424055673626,0.0
2019-11-12,1860044.070782946,0.0003292199069555579,0.013474432771045368,1896230.2830029754,0.00037456379857792044,0.005069981747022112,1902072.786783905,0.0002574834749060617,0.00556280822554411,0.0
2019-11-13,1858893.4087829464,-0.0006186208262878301,0.013482773495525822,1896323.2897229758,4.904821995199704e-05,0.00506973308563863,1900206.660543905,-0.0009811013821164893,0.005568271264177395,0.0
2019-11-14,1859451.8707829462,0.0003004271236646261,0.013478724121207418,1897256.2830029756,0.0004920011714544259,0.005067239997623758,1900463.586783905,0.00013520963026536492,0.0055675184820619394,0.0
2019-11-15,1858253.2027829462,-0.0006446351308331266,0.013487418585051595,1896733.2650829754,-0.00027567067490341657,0.005068637272281449,1898964.8234239053,-0.0007886304007203027,0.005571912661777176,0.0
2019-11-18,1866035.2507829461,0.00418782972543541,0.013431171127357039,1902315.6382029755,0.0029431513765094675,0.005053763281921708,1907414.828383905,0.004449795412620805,0.005547228629269892,0.0
2019-11-19,1873879.5367829464,0.004203718014817337,0.013374946623289499,1907397.2180429755,0.002671260088467964,0.005040299331483584,1916287.907103905,0.004651887249674802,0.005521543033633202,0.0
2019-11-20,1871529.9307829463,-0.0012538724896019593,0.013391738155350445,1906401.9934029754,-0.0005217710451634883,0.005042930586646466,1913316.869983905,-0.0015504127062462292,0.005530116997292833,0.0
2019-11-21,1869988.7767829462,-0.0008234728040685813,0.013402774976042265,1905475.3956429756,-0.000486045316363648,0.005045382871360352,1911527.827903905,-0.0009350474602856096,0.00553529275872882,0.0
2019-11-22,1869234.0487829463,-0.0004036002832585872,0.013408186523921305,1904903.9553229755,-0.0002998938329545897,0.0050468964044676125,1910782.285343905,-0.0003900244344428039,0.005537452500508585,0.0
2019-11-25,1876102.5187829463,0.00367448367660117,0.013359098733690256,1908284.3441229756,0.0017745717785686566,0.005037956189591897,1919257.2957439052,0.004435361613411182,0.005513000350379789,0.0
2019-11-26,1876513.7887829463,0.00021921509932565364,0.01335617085936871,1908763.9329229754,0.00025131935996691723,0.005036690371791307,1919592.9061439051,0.00017486472540406695,0.005512036489632613,0.0
2019-11-27,1875343.8787829462,-0.0006234486562227692,0.013364502940768217,1908582.6545229757,-9.497161847671354e-05,0.005037168759860972,1917986.7789439051,-0.0008367019876241999,0.005516652283563302,0.0
2019-11-28,1873610.3227829463,-0.0009243936643368311,0.01337686843319653,1907707.4858829754,-0.00045854374602338765,0.005039479581706376,1915826.589823905,-0.0011262794632972417,0.0055228725815302864,0.0
2019-11-29,1873176.8647829462,-0.00023134906694810553,0.013379963875354893,1907511.6343629756,-0.00010266328640484712,0.005039997004362314,1915345.657663905,-0.0002510311541527033,0.00552425934272893,0.0
2019-12-02,1893953.8755019065,0.00041480905170709903,0.004443355548812584,1929059.8291029758,0.0008116305620946562,3.3470309620529016e-06,1937184.726733905,0.0009601760719488706,0.004011474376533502,20000.0
2019-12-03,1895268.7479019063,0.0006942473188009668,0.004440272901256143,1931547.0226830156,0.0012893294145244205,0.006492851489370069,1938253.3371339052,0.0005516306138764193,0.004009262744464582,0.0
2019-12-04,1893892.5692619064,-0.0007261126642452709,0.004443499382431292,1929402.0723630157,-0.0011104830971292445,0.006500069706909754,1937599.731693905,-0.00033721362810423816,0.004010615178559874,0.0
2019-12-05,1896817.7203019066,0.0015445179349007354,0.004436646901720763,1933212.5438830159,0.0019749494284171387,0.006487257701021128,1940336.4475339053,0.001412425794262262,0.0040049584719092,0.0
2019-12-06,1898135.1885419064,0.0006945676571337156,0.004433567489137089,1934977.4790030157,0.0009129545147967821,0.006481340531920576,1941355.7945739052,0.0005253455096900783,0.0040028555896992135,0.0
2019-12-09,1903668.7291819064,0.0029152510703154277,0.004420680096753507,1942300.0353230156,0.003784310876720376,0.006456905593851806,1946124.9520139052,0.0024566117418196587,0.0039930462254561296,0.0
2019-12-10,1902507.1036619064,-0.0006102036043315051,0.004423379258720503,1940969.0995630156,-0.0006852369540212289,0.006461333138090267,1944681.6940939052,-0.0007416059891254267,0.003996009690174967,0.0
2019-12-11,1902641.3271019065,7.055082198736962e-05,0.004423067207693295,1941084.1922830157,5.929652359015769e-05,0.0064609500262146225,1944897.2203339052,0.00011082854364019568,0.003995566867318045,0.0
2019-12-12,1904945.8463819064,0.001211221078389002,0.0044177163764997345,1944027.6989230157,0.0015164239921701128,0.006451167321311083,1947059.983213905,0.0011120191120579381,0.003991128655973919,0.0
2019-12-13,1910105.1953419065,0.002708396655894063,0.004405783766480007,1951036.4274030158,0.0036052616348434263,0.006427992725747891,1951279.667373905,0.0021672080965038365,0.003982497754595851,0.0
2019-12-16,1914874.8104619063,0.0024970431637121315,0.004394809736870738,1957377.2479630157,0.0032499754853065888,0.006407169581677238,1955303.966893905,0.0020623899214899932,0.003974301195864534,0.0
2019-12-17,1920864.3615019065,0.003127907374036454,0.004381106042972489,1965738.7194830156,0.004271773123296185,0.006379916027860537,1959801.682733905,0.0023002642638447757,0.003965180233473771,0.0
2019-12-18,1918875.5573419065,-0.0010353693888334181,0.004385646807427135,1963054.9334030158,-0.0013652811807591814,0.0063886383155233985,1958065.5193739051,-0.0008858872687454999,0.003968696050778676,0.0
2019-12-19,1921142.7490219064,0.0011815209544596694,0.00438047118892701,1965961.0612430156,0.001480410858886172,0.00637919448673429,1960129.092653905,0.0010538836722173706,0.003964517910085025,0.0
2019-12-20,1921983.2641419065,0.00043750789493812725,0.004378555536311449,1966681.5818030157,0.00036649787943643375,0.0063768573820263096,1961477.292173905,0.0006878115962121178,0.003961792942957068,0.0
