experiment,direction,change,annualized_return,volatility,sharpe,max_drawdown,sortino,calmar,worst_calendar_return,best_calendar_return,final_nav,total_deposits,trades,rebalance_dates,traded_notional,estimated_transaction_cost,average_cash_weight,meets_5pct_return_floor
score_blend_025,score,75/25 blend of baseline and rank-tilted portfolio,0.05545936341616797,0.039460702612127106,1.387704758023044,-0.04566210882401467,1.6285825322546317,1.2145598362509424,0.013559405200373353,0.11748581032715255,5005569.420042799,3280000.0,500,95,68938292.13441,34469.146067204994,0.031235585304899473,True
score_blend_075,score,25/75 blend of baseline and rank-tilted portfolio,0.06077001498441259,0.03635063207967834,1.641262500253081,-0.05549926462567156,1.9399627242585211,1.0949697332800876,0.01806218248687963,0.10875610391965118,5296863.2722935425,3280000.0,486,94,192797311.53294,96398.65576647001,0.031134836699664246,True
score_low_vol_60,score,replace reversal with 60-day low-volatility rank,0.045068894957731365,0.028392823307468805,1.566933316676918,-0.04543666825517634,1.7260738090437842,0.9919058040219955,0.01282180138969391,0.09027779728243268,4524724.214504591,3280000.0,381,60,15921925.93082,7960.96296541,0.031101479906760918,False
mech_calendar_or_maxdrift_05,mechanism,add 5% max single-asset drift trigger on top of calendar,0.054348447525104815,0.04682702646453322,1.153718870047084,-0.05779059279532506,1.242367600774273,0.9404376196241633,0.0042492972760681536,0.1561971765223229,5025608.293163081,3280000.0,2008,518,608544762.33391,304272.381166955,0.029729738595232813,True
mech_calendar_or_maxdrift_10,mechanism,add 10% max single-asset drift trigger on top of calendar,0.05445868727778991,0.046757380331180966,1.1576052569881392,-0.05779059279532506,1.2450553721152615,0.9423451922471942,0.0038756397056618486,0.15347454325647014,5030269.546647881,3280000.0,1791,457,586931578.2643,293465.78913215,0.029754634358758348,True
mech_calendar_or_targetchange_05,mechanism,add 5% target-change trigger on top of calendar,0.05416698092889827,0.046764640312410746,1.1515152848930994,-0.05779059279532506,1.2385833844909764,0.9372975480756806,0.004221201836380528,0.15266903720105507,5014906.110003793,3280000.0,1985,505,606199974.57248,303099.98728624,0.029762437335380486,True
mech_calendar_or_targetchange_10,mechanism,add 10% target-change trigger on top of calendar,0.054519235303281954,0.04676838570962155,1.158571841291454,-0.05779059279532506,1.2464200768215,0.9433929064609329,0.0038669885978970253,0.1534729178569305,5032873.481404198,3280000.0,1799,458,588412336.93167,294206.168465835,0.029816219434264137,True
pool_full_8etf_sleeve_tilt,pool,8-ETF universe + 50% rank tilt only inside dividend and sovereign sleeves,0.05021285119665553,0.04247208577480658,1.1748732495600924,-0.05324839104731527,1.5147381668605293,0.9429928343193988,0.005725435341589646,0.13301665543616092,4707596.242246445,3280000.0,924,146,64508571.79789044,32254.28589894522,0.03227378828417821,True
score_blend_100,score,pure rank-tilted portfolio without baseline anchoring,0.06327151022288002,0.03816057428856921,1.626911713685944,-0.06168552191600263,1.8162166040364998,1.0257108679251679,0.019002944823013124,0.11824878478219736,5441567.710767687,3280000.0,482,92,256971456.68464997,128485.72834232499,0.03077731390413148,True
score_tilt_090,score,tilt strength 0.50 -> 0.90 (refine the 0.75/1.00 peak),0.07713622273962262,0.04911004942440348,1.5377410122880841,-0.07580461596944088,1.7725796302214076,1.0175663019085612,0.007169651604208571,0.15932195893391143,6168811.106361206,3280000.0,496,95,313368951.21761996,156684.47560880997,0.031099264640342548,True
score_risk_only_tilt_050,score,50% rank tilt among the 3 risk assets only; money sleeve fixed at 10%,0.06631924909499154,0.043236429203701125,1.5069110345588432,-0.060446385718919804,1.8457277025650982,1.0971582222199519,0.012161048799354868,0.13078674782534572,5551472.329764633,3280000.0,452,90,151278313.01075,75639.156505375,0.030991667128372972,True
score_risk_only_tilt_100,score,100% rank tilt among the 3 risk assets only; money sleeve fixed at 10%,0.07982632809354406,0.05263715714125829,1.4854958093207133,-0.08295452488999511,1.7018103802713442,0.9622902210506382,0.010459220811451786,0.17226753378904158,6334247.85492401,3280000.0,427,89,324571837.31201994,162285.91865600998,0.030629674227442345,True
